DATE,ROBG,ROBG_peak,BGRO,BGRO_peak
2020-03-22 12:55:00,8.2204124074e+09,8.2204124074e+09,2.3649080507e+09,2.3649080507e+09
2020-03-22 13:00:00,8.1378194660e+09,8.1378194660e+09,2.2359318374e+09,2.2359318374e+09
2020-03-22 13:05:00,8.4016299603e+09,8.4016299603e+09,2.7920953794e+09,2.7920953794e+09
2020-03-22 13:10:00,8.6599449068e+09,8.6599449068e+09,2.8739126996e+09,2.8739126996e+09
2020-03-22 13:15:00,7.4373699406e+09,7.4373699406e+09,2.5565556741e+09,2.5565556741e+09
2020-03-22 13:20:00,7.4133254200e+09,7.4133254200e+09,2.3094322370e+09,2.3094322370e+09
2020-03-22 13:25:00,7.1761703036e+09,7.1761703036e+09,2.0162497013e+09,2.0162497013e+09
2020-03-22 13:30:00,6.9337850278e+09,6.9337850278e+09,2.1997968628e+09,2.1997968628e+09
2020-03-22 13:35:00,7.2965236397e+09,7.2965236397e+09,2.2647245063e+09,2.2647245063e+09
2020-03-22 13:40:00,7.4332359662e+09,7.4332359662e+09,1.4844767343e+09,1.4844767343e+09
2020-03-22 13:45:00,7.8835399628e+09,7.8835399628e+09,2.0370572810e+09,2.0370572810e+09
2020-03-22 13:50:00,7.6193873043e+09,7.6193873043e+09,1.9403660559e+09,1.9403660559e+09
2020-03-22 13:55:00,8.9784698413e+09,8.9784698413e+09,2.1684762530e+09,2.1684762530e+09
2020-03-22 14:00:00,7.3732063514e+09,7.3732063514e+09,2.5255154461e+09,2.5255154461e+09
2020-03-22 14:05:00,6.8492145017e+09,6.8492145017e+09,2.1510281841e+09,2.1510281841e+09
2020-03-22 14:10:00,6.2536580380e+09,6.2536580380e+09,2.5044964533e+09,2.5044964533e+09
2020-03-22 14:15:00,6.5505577964e+09,6.5505577964e+09,2.2107470549e+09,2.2107470549e+09
2020-03-22 14:20:00,6.1504116923e+09,6.1504116923e+09,2.3809357297e+09,2.3809357297e+09
2020-03-22 14:25:00,6.7379551135e+09,6.7379551135e+09,2.6883206795e+09,2.6883206795e+09
2020-03-22 14:30:00,6.0822116333e+09,6.0822116333e+09,2.0315908055e+09,2.0315908055e+09
2020-03-22 14:35:00,6.5652510110e+09,6.5652510110e+09,2.5084560446e+09,2.5084560446e+09
2020-03-22 14:40:00,6.4183573528e+09,6.4183573528e+09,3.2295047949e+09,3.2295047949e+09
2020-03-22 14:45:00,6.3372882290e+09,6.3372882290e+09,2.0807163004e+09,2.0807163004e+09
2020-03-22 14:50:00,6.3135974370e+09,6.3135974370e+09,2.1629556408e+09,2.1629556408e+09
2020-03-22 14:55:00,5.9724399497e+09,5.9724399497e+09,2.2768642481e+09,2.2768642481e+09
2020-03-22 15:00:00,5.6148442828e+09,5.6148442828e+09,1.8133424554e+09,1.8133424554e+09
2020-03-22 15:05:00,4.6346254681e+09,4.6346254681e+09,2.1397874133e+09,2.1397874133e+09
2020-03-22 15:10:00,5.2406241372e+09,5.2406241372e+09,1.6746831270e+09,1.6746831270e+09
2020-03-22 15:15:00,5.9186179486e+09,5.9186179486e+09,1.9920035683e+09,1.9920035683e+09
2020-03-22 15:20:00,6.8118836352e+09,6.8118836352e+09,3.3366878510e+09,3.3366878510e+09
2020-03-22 15:25:00,9.7556424250e+09,9.7556424250e+09,3.6753143233e+09,3.6753143233e+09
2020-03-22 15:30:00,9.9935620035e+09,9.9935620035e+09,2.7215946963e+09,2.7215946963e+09
2020-03-22 15:35:00,8.1772113530e+09,8.1772113530e+09,3.9412853919e+09,3.9412853919e+09
2020-03-22 15:40:00,8.4543807853e+09,8.4543807853e+09,4.3436466483e+09,4.3436466483e+09
2020-03-22 15:45:00,7.5891735168e+09,7.5891735168e+09,3.8260290249e+09,3.8260290249e+09
2020-03-22 15:50:00,6.7117348607e+09,6.7117348607e+09,3.4232709720e+09,3.4232709720e+09
2020-03-22 15:55:00,6.7505978004e+09,6.7505978004e+09,3.8113816417e+09,3.8113816417e+09
2020-03-22 16:00:00,6.5681504460e+09,6.5681504460e+09,3.5744508247e+09,3.5744508247e+09
2020-03-22 16:05:00,7.2139018468e+09,7.2139018468e+09,3.4703520854e+09,3.4703520854e+09
2020-03-22 16:10:00,6.9741350021e+09,6.9741350021e+09,3.2803110850e+09,3.2803110850e+09
2020-03-22 16:15:00,6.9105488541e+09,6.9105488541e+09,2.8746175022e+09,2.8746175022e+09
2020-03-22 16:20:00,7.4635194509e+09,7.4635194509e+09,3.3000242283e+09,3.3000242283e+09
2020-03-22 16:25:00,8.0997712009e+09,8.0997712009e+09,3.8168055215e+09,3.8168055215e+09
2020-03-22 16:30:00,8.1568610726e+09,8.1568610726e+09,3.7520225773e+09,3.7520225773e+09
2020-03-22 16:35:00,8.5442654167e+09,8.5442654167e+09,3.7961039426e+09,3.7961039426e+09
2020-03-22 16:40:00,7.9623285354e+09,7.9623285354e+09,3.3317219165e+09,3.3317219165e+09
2020-03-22 16:45:00,7.6439218204e+09,7.6439218204e+09,2.7824442735e+09,2.7824442735e+09
2020-03-22 16:50:00,7.2616536544e+09,7.2616536544e+09,2.8262333418e+09,2.8262333418e+09
2020-03-22 16:55:00,7.2503902110e+09,7.2503902110e+09,2.4026416804e+09,2.4026416804e+09
2020-03-22 17:00:00,9.2165472534e+09,9.2165472534e+09,1.8190331234e+09,1.8190331234e+09
2020-03-22 17:05:00,1.0086931377e+10,1.0086931377e+10,2.2912327579e+09,2.2912327579e+09
2020-03-22 17:10:00,1.2002212710e+10,1.2002212710e+10,2.0590252403e+09,2.0590252403e+09
2020-03-22 17:15:00,1.1054674336e+10,1.1054674336e+10,2.5186087054e+09,2.5186087054e+09
2020-03-22 17:20:00,9.9101107419e+09,9.9101107419e+09,2.2021871829e+09,2.2021871829e+09
2020-03-22 17:25:00,1.0034455928e+10,1.0034455928e+10,1.7251885963e+09,1.7251885963e+09
2020-03-22 17:30:00,1.3713731979e+10,1.3713731979e+10,1.5818064421e+09,1.5818064421e+09
2020-03-22 17:35:00,1.5601681595e+10,1.5601681595e+10,1.6951714987e+09,1.6951714987e+09
2020-03-22 17:40:00,1.0735393826e+10,1.0735393826e+10,1.8999794250e+09,1.8999794250e+09
2020-03-22 17:45:00,9.1580663552e+09,9.1580663552e+09,1.5668371750e+09,1.5668371750e+09
2020-03-22 17:50:00,9.9140868637e+09,9.9140868637e+09,1.7180790727e+09,1.7180790727e+09
2020-03-22 17:55:00,9.6844756423e+09,9.6844756423e+09,1.6940476727e+09,1.6940476727e+09
2020-03-22 18:00:00,1.0327240127e+10,1.0327240127e+10,3.2470921578e+09,3.2470921578e+09
2020-03-22 18:05:00,1.0175576456e+10,1.0175576456e+10,2.1134566204e+09,2.1134566204e+09
2020-03-22 18:10:00,9.6754092231e+09,9.6754092231e+09,1.7783903208e+09,1.7783903208e+09
2020-03-22 18:15:00,9.7669526019e+09,9.7669526019e+09,1.1506003488e+09,1.1506003488e+09
2020-03-22 18:20:00,8.3623581582e+09,8.3623581582e+09,2.1876139734e+09,2.1876139734e+09
2020-03-22 18:25:00,8.2933800650e+09,8.2933800650e+09,2.1019437186e+09,2.1019437186e+09
2020-03-22 18:30:00,8.8818204305e+09,8.8818204305e+09,2.1725260800e+09,2.1725260800e+09
2020-03-22 18:35:00,8.9049622287e+09,8.9049622287e+09,1.6741051103e+09,1.6741051103e+09
2020-03-22 18:40:00,1.0292157902e+10,1.0292157902e+10,2.1025301784e+09,2.1025301784e+09
2020-03-22 18:45:00,1.4998472489e+10,1.4998472489e+10,1.8099247488e+09,1.8099247488e+09
2020-03-22 18:50:00,1.4131030100e+10,1.4131030100e+10,1.0221700830e+09,1.0221700830e+09
2020-03-22 18:55:00,1.3606471647e+10,1.3606471647e+10,1.1749186578e+09,1.1749186578e+09
2020-03-22 19:00:00,1.1506940013e+10,1.1506940013e+10,1.9798201867e+09,1.9798201867e+09
2020-03-22 19:05:00,1.3676443818e+10,1.3676443818e+10,1.3765453774e+09,1.3765453774e+09
2020-03-22 19:10:00,1.3108951088e+10,1.3108951088e+10,1.6509645717e+09,1.6509645717e+09
2020-03-22 19:15:00,1.2342793459e+10,1.2342793459e+10,1.4045108148e+09,1.4045108148e+09
2020-03-22 19:20:00,1.1889341515e+10,1.1889341515e+10,1.5895200592e+09,1.5895200592e+09
2020-03-22 19:25:00,1.1884681669e+10,1.1884681669e+10,1.7822914659e+09,1.7822914659e+09
2020-03-22 19:30:00,9.2438584519e+09,9.2438584519e+09,1.6185841301e+09,1.6185841301e+09
2020-03-22 19:35:00,5.2193276809e+09,5.2193276809e+09,1.8520204149e+09,1.8520204149e+09
2020-03-22 19:40:00,5.9846240138e+09,5.9846240138e+09,1.8418694999e+09,1.8418694999e+09
