DATE,SKAT,SKAT_peak,ATSK,ATSK_peak
2020-03-22 18:05:00,3.1635590029e+09,3.1635590029e+09,1.6698276875e+09,1.6698276875e+09
2020-03-22 18:10:00,2.5498929326e+09,2.5498929326e+09,1.4228513475e+09,1.4228513475e+09
2020-03-22 18:15:00,3.3226278131e+09,3.3226278131e+09,1.2459368507e+09,1.2459368507e+09
2020-03-22 18:20:00,1.9914925782e+09,1.9914925782e+09,1.1166380810e+09,1.1166380810e+09
2020-03-22 18:25:00,1.4958259691e+09,1.4958259691e+09,1.0186332227e+09,1.0186332227e+09
2020-03-22 18:30:00,1.7170346012e+09,1.7170346012e+09,8.3572885195e+08,8.3572885195e+08
2020-03-22 18:35:00,1.9390450737e+09,1.9390450737e+09,9.2497003588e+08,9.2497003588e+08
2020-03-22 18:40:00,1.4998589486e+09,1.4998589486e+09,7.2291061212e+08,7.2291061212e+08
2020-03-22 18:45:00,1.8900742278e+09,1.8900742278e+09,6.6058326103e+08,6.6058326103e+08
2020-03-22 18:50:00,1.7161844509e+09,1.7161844509e+09,1.0311762702e+09,1.0311762702e+09
2020-03-22 18:55:00,2.4302245982e+09,2.4302245982e+09,8.1799084514e+08,8.1799084514e+08
2020-03-22 19:00:00,2.5393424677e+09,2.5393424677e+09,8.0935516007e+08,8.0935516007e+08
2020-03-22 19:05:00,2.0933825100e+09,2.0933825100e+09,1.2548877113e+09,1.2548877113e+09
2020-03-22 19:10:00,1.3470185329e+09,1.3470185329e+09,3.1514901289e+09,3.1514901289e+09
2020-03-22 19:15:00,1.7307371197e+09,1.7307371197e+09,2.4287888281e+09,2.4287888281e+09
2020-03-22 19:20:00,1.0278274157e+09,1.0278274157e+09,3.2337471746e+09,3.2337471746e+09
2020-03-22 19:25:00,8.7372052437e+08,8.7372052437e+08,2.2017977232e+09,2.2017977232e+09
2020-03-22 19:30:00,9.1246459297e+08,9.1246459297e+08,1.9240919727e+09,1.9240919727e+09
2020-03-22 19:35:00,1.2050079179e+09,1.2050079179e+09,5.0373295573e+08,5.0373295573e+08
2020-03-22 19:40:00,1.9755149984e+09,1.9755149984e+09,3.5326806503e+08,3.5326806503e+08
