DATE,UKUI,UKUI_peak,UIUK,UIUK_peak
2020-03-31 07:30:00,4.2230568627e+10,4.2230568627e+10,3.7691537692e+10,3.7691537692e+10
2020-03-31 07:35:00,4.5226346167e+10,4.5226346167e+10,3.6298370794e+10,3.6298370794e+10
2020-03-31 07:40:00,4.4712518323e+10,4.4712518323e+10,3.8820106801e+10,3.8820106801e+10
2020-03-31 07:45:00,4.6160854385e+10,4.6160854385e+10,4.6510640130e+10,4.6510640130e+10
2020-03-31 07:50:00,4.9222481808e+10,4.9222481808e+10,4.3779734220e+10,4.3779734220e+10
2020-03-31 07:55:00,4.9626326254e+10,4.9626326254e+10,4.4541213704e+10,4.4541213704e+10
2020-03-31 08:00:00,5.5435757022e+10,5.5435757022e+10,5.0378457240e+10,5.0378457240e+10
2020-03-31 08:05:00,5.4135619160e+10,5.4135619160e+10,5.0055340717e+10,5.0055340717e+10
2020-03-31 08:10:00,5.9150044118e+10,5.9150044118e+10,5.3333164295e+10,5.3333164295e+10
2020-03-31 08:15:00,6.5105749856e+10,6.5105749856e+10,6.1777290779e+10,6.1777290779e+10
2020-03-31 08:20:00,6.6240053594e+10,6.6240053594e+10,5.6948117878e+10,5.6948117878e+10
2020-03-31 08:25:00,6.8133651240e+10,6.8133651240e+10,4.2520816971e+10,4.2520816971e+10
2020-03-31 08:30:00,6.3234343464e+10,6.3234343464e+10,5.0076238317e+10,5.0076238317e+10
2020-03-31 08:35:00,6.5177014912e+10,6.5177014912e+10,5.0271472973e+10,5.0271472973e+10
2020-03-31 08:40:00,6.2858840749e+10,6.2858840749e+10,4.9890980894e+10,4.9890980894e+10
2020-03-31 08:45:00,6.6141039586e+10,6.6141039586e+10,5.6292124313e+10,5.6292124313e+10
2020-03-31 08:50:00,6.0386893253e+10,6.0386893253e+10,5.4358715292e+10,5.4358715292e+10
2020-03-31 08:55:00,6.8505606784e+10,6.8505606784e+10,5.2970148821e+10,5.2970148821e+10
2020-03-31 09:00:00,7.6069873137e+10,7.6069873137e+10,5.2936786109e+10,5.2936786109e+10
2020-03-31 09:05:00,6.4329314562e+10,6.4329314562e+10,5.0718738366e+10,5.0718738366e+10
2020-03-31 09:10:00,6.4870684877e+10,6.4870684877e+10,5.7204261850e+10,5.7204261850e+10
2020-03-31 09:15:00,7.0718096302e+10,7.0718096302e+10,5.3856033084e+10,5.3856033084e+10
2020-03-31 09:20:00,6.5987590417e+10,6.5987590417e+10,6.4382854960e+10,6.4382854960e+10
2020-03-31 09:25:00,6.7739969736e+10,6.7739969736e+10,5.0875003060e+10,5.0875003060e+10
2020-03-31 09:30:00,6.0598071017e+10,6.0598071017e+10,4.6973610571e+10,4.6973610571e+10
2020-03-31 09:35:00,6.0331264093e+10,6.0331264093e+10,4.5654593611e+10,4.5654593611e+10
2020-03-31 09:40:00,6.3452238702e+10,6.3452238702e+10,3.8065460823e+10,3.8065460823e+10
2020-03-31 09:45:00,6.1489331630e+10,6.1489331630e+10,3.9956400499e+10,3.9956400499e+10
2020-03-31 09:50:00,6.3405719484e+10,6.3405719484e+10,4.0343284969e+10,4.0343284969e+10
2020-03-31 09:55:00,5.9759529277e+10,5.9759529277e+10,4.5700499739e+10,4.5700499739e+10
2020-03-31 10:00:00,5.5559954445e+10,5.5559954445e+10,3.9922895401e+10,3.9922895401e+10
2020-03-31 10:05:00,5.1847541395e+10,5.1847541395e+10,3.0333936358e+10,3.0333936358e+10
2020-03-31 10:10:00,6.1242703764e+10,6.1242703764e+10,3.1868369216e+10,3.1868369216e+10
2020-03-31 10:15:00,5.4474844704e+10,5.4474844704e+10,3.6841027888e+10,3.6841027888e+10
2020-03-31 10:20:00,5.5804670875e+10,5.5804670875e+10,4.4031096868e+10,4.4031096868e+10
2020-03-31 10:25:00,5.4536447989e+10,5.4536447989e+10,3.5656460817e+10,3.5656460817e+10
2020-03-31 10:30:00,5.7477098577e+10,5.7477098577e+10,3.9620222619e+10,3.9620222619e+10
2020-03-31 10:35:00,6.2070239443e+10,6.2070239443e+10,5.0296969134e+10,5.0296969134e+10
2020-03-31 10:40:00,5.7321965101e+10,5.7321965101e+10,4.7035937635e+10,4.7035937635e+10
2020-03-31 10:45:00,5.5561148296e+10,5.5561148296e+10,4.3887619207e+10,4.3887619207e+10
2020-03-31 10:50:00,5.8815933794e+10,5.8815933794e+10,3.9931287143e+10,3.9931287143e+10
2020-03-31 10:55:00,5.9605612133e+10,5.9605612133e+10,4.7053740594e+10,4.7053740594e+10
2020-03-31 11:00:00,5.7374476900e+10,5.7374476900e+10,5.2746513899e+10,5.2746513899e+10
2020-03-31 11:05:00,6.2231616057e+10,6.2231616057e+10,4.1414823650e+10,4.1414823650e+10
2020-03-31 11:10:00,6.1183898358e+10,6.1183898358e+10,4.6738284880e+10,4.6738284880e+10
2020-03-31 11:15:00,6.8732525909e+10,6.8732525909e+10,5.7294832094e+10,5.7294832094e+10
2020-03-31 11:20:00,7.8742232664e+10,7.8742232664e+10,5.0860593129e+10,5.0860593129e+10
2020-03-31 11:25:00,7.3077624070e+10,7.3077624070e+10,4.5202202794e+10,4.5202202794e+10
2020-03-31 11:30:00,6.4399933165e+10,6.4399933165e+10,5.1078026752e+10,5.1078026752e+10
2020-03-31 11:35:00,6.5031584303e+10,6.5031584303e+10,4.3212464470e+10,4.3212464470e+10
2020-03-31 11:40:00,6.1947358689e+10,6.1947358689e+10,4.4103031523e+10,4.4103031523e+10
2020-03-31 11:45:00,5.9711661645e+10,5.9711661645e+10,4.6306693590e+10,4.6306693590e+10
2020-03-31 11:50:00,6.1531839415e+10,6.1531839415e+10,3.9850311215e+10,3.9850311215e+10
2020-03-31 11:55:00,6.7724645979e+10,6.7724645979e+10,3.2750799161e+10,3.2750799161e+10
2020-03-31 12:00:00,7.2317745985e+10,7.2317745985e+10,3.6057106238e+10,3.6057106238e+10
2020-03-31 12:05:00,6.2818402823e+10,6.2818402823e+10,3.4908125151e+10,3.4908125151e+10
2020-03-31 12:10:00,6.6239558878e+10,6.6239558878e+10,3.7662266299e+10,3.7662266299e+10
