DATE,ATHR,ATHR_peak,HRAT,ATHR_peak
2020-03-15 17:20:00,1.6802994040e+06,1.6802994040e+06,1.0990997544e+06,1.0990997544e+06
2020-03-15 17:25:00,1.6866347867e+06,1.6866347867e+06,1.0742286108e+06,1.0742286108e+06
2020-03-15 17:30:00,1.5687885605e+06,1.5687885605e+06,1.0241894405e+06,1.0241894405e+06
2020-03-15 17:35:00,1.6795274757e+06,1.6795274757e+06,1.1277636380e+06,1.1277636380e+06
2020-03-15 17:40:00,1.3288640164e+06,1.3288640164e+06,1.0587310795e+06,1.0587310795e+06
2020-03-15 17:45:00,1.7294605538e+06,1.7294605538e+06,1.0305208252e+06,1.0305208252e+06
2020-03-15 17:50:00,1.7643131322e+06,1.7643131322e+06,1.1601194255e+06,1.1601194255e+06
2020-03-15 17:55:00,3.4744047963e+06,3.4744047963e+06,1.0251788745e+06,1.0251788745e+06
2020-03-15 18:00:00,1.3291788315e+06,1.3291788315e+06,1.1097976588e+06,1.1097976588e+06
2020-03-15 18:05:00,1.5434818913e+06,1.5434818913e+06,1.0161431874e+06,1.0161431874e+06
2020-03-15 18:10:00,1.5420854150e+06,1.5420854150e+06,1.1355289255e+06,1.1355289255e+06
2020-03-15 18:15:00,1.3665230903e+06,1.3665230903e+06,1.0631120000e+06,1.0631120000e+06
2020-03-15 18:20:00,3.2971134311e+06,3.2971134311e+06,1.0296545815e+06,1.0296545815e+06
2020-03-15 18:25:00,1.9896022422e+06,1.9896022422e+06,1.1590214384e+06,1.1590214384e+06
2020-03-15 18:30:00,1.7459944576e+06,1.7459944576e+06,1.0236963250e+06,1.0236963250e+06
2020-03-15 18:35:00,2.0886903054e+06,2.0886903054e+06,1.0515734482e+06,1.0515734482e+06
2020-03-15 18:40:00,2.1168763831e+06,2.1168763831e+06,1.0437198516e+06,1.0437198516e+06
2020-03-15 18:45:00,2.2377101211e+06,2.2377101211e+06,1.1501949332e+06,1.1501949332e+06
