DATE,PLAT,PLAT_peak,ATPL,ATPL_peak
2020-03-15 18:15:00,8.4093541675e+08,8.4093541675e+08,2.6276992624e+07,2.6276992624e+07
2020-03-15 18:20:00,6.2851723011e+08,6.2851723011e+08,1.8955604057e+07,1.8955604057e+07
2020-03-15 18:25:00,7.4775048556e+08,7.4775048556e+08,2.1094547106e+07,2.1094547106e+07
2020-03-15 18:30:00,6.5289475313e+08,6.5289475313e+08,1.8837751223e+07,1.8837751223e+07
2020-03-15 18:35:00,5.9157507874e+08,5.9157507874e+08,2.4330703916e+07,2.4330703916e+07
2020-03-15 18:40:00,6.3828465716e+08,6.3828465716e+08,3.1981598975e+07,3.1981598975e+07
2020-03-15 18:45:00,6.7224654763e+08,6.7224654763e+08,5.9889529541e+08,5.9889529541e+08
2020-03-15 18:50:00,6.4095018697e+08,6.4095018697e+08,2.8448984000e+07,2.8448984000e+07
2020-03-15 18:55:00,9.0395131192e+08,9.0395131192e+08,2.1148547556e+07,2.1148547556e+07
2020-03-15 19:00:00,9.0906221271e+08,9.0906221271e+08,2.4826069404e+07,2.4826069404e+07
2020-03-15 19:05:00,9.8116229835e+08,9.8116229835e+08,2.3408614606e+07,2.3408614606e+07
2020-03-15 19:10:00,6.8810167164e+08,6.8810167164e+08,1.4162151284e+08,1.4162151284e+08
2020-03-15 19:15:00,1.3944814129e+09,1.3944814129e+09,2.9094832355e+07,2.9094832355e+07
2020-03-15 19:20:00,7.2162436889e+08,7.2162436889e+08,2.3360325094e+07,2.3360325094e+07
2020-03-15 19:25:00,6.3705224555e+08,6.3705224555e+08,2.4544819149e+07,2.4544819149e+07
2020-03-15 19:30:00,6.8170126149e+08,6.8170126149e+08,2.3152773599e+07,2.3152773599e+07
2020-03-15 19:35:00,7.2454485210e+08,7.2454485210e+08,2.3751564400e+07,2.3751564400e+07
2020-03-15 19:40:00,7.0177869348e+08,7.0177869348e+08,2.5517724448e+07,2.5517724448e+07
