DATE,DECH,DECH_peak,CHDE,CHDE_peak
2020-03-15 14:50:00,3.1176209304e+10,3.1176209304e+10,4.2640153929e+10,4.2640153929e+10
2020-03-15 14:55:00,3.8254713423e+10,3.8254713423e+10,4.7132870645e+10,4.7132870645e+10
2020-03-15 15:00:00,3.2864170246e+10,3.2864170246e+10,5.1861414129e+10,5.1861414129e+10
2020-03-15 15:05:00,3.6101944880e+10,3.6101944880e+10,6.8789987514e+10,6.8789987514e+10
2020-03-15 15:10:00,3.5738996376e+10,3.5738996376e+10,5.8235090328e+10,5.8235090328e+10
2020-03-15 15:15:00,3.0308410062e+10,3.0308410062e+10,4.8846875887e+10,4.8846875887e+10
2020-03-15 15:20:00,2.9174656852e+10,2.9174656852e+10,4.8680063449e+10,4.8680063449e+10
2020-03-15 15:25:00,3.4535527001e+10,3.4535527001e+10,5.3030256556e+10,5.3030256556e+10
2020-03-15 15:30:00,3.3911854582e+10,3.3911854582e+10,5.3371111749e+10,5.3371111749e+10
2020-03-15 15:35:00,3.4263225411e+10,3.4263225411e+10,5.7698515222e+10,5.7698515222e+10
2020-03-15 15:40:00,3.9826933810e+10,3.9826933810e+10,4.5657782907e+10,4.5657782907e+10
2020-03-15 15:45:00,4.7314338909e+10,4.7314338909e+10,5.0410564046e+10,5.0410564046e+10
2020-03-15 15:50:00,4.5339559385e+10,4.5339559385e+10,4.6720319719e+10,4.6720319719e+10
2020-03-15 15:55:00,3.5935125398e+10,3.5935125398e+10,4.5055290220e+10,4.5055290220e+10
2020-03-15 16:00:00,4.0874132246e+10,4.0874132246e+10,4.0019632505e+10,4.0019632505e+10
2020-03-15 16:05:00,3.8809962179e+10,3.8809962179e+10,5.5924180020e+10,5.5924180020e+10
2020-03-15 16:10:00,3.5083921346e+10,3.5083921346e+10,4.6415712101e+10,4.6415712101e+10
2020-03-15 16:15:00,3.5981928418e+10,3.5981928418e+10,4.7938631172e+10,4.7938631172e+10
2020-03-15 16:20:00,4.2454422869e+10,4.2454422869e+10,5.2978820054e+10,5.2978820054e+10
2020-03-15 16:25:00,4.0727257086e+10,4.0727257086e+10,5.9480261200e+10,5.9480261200e+10
2020-03-15 16:30:00,3.8924925829e+10,3.8924925829e+10,5.8372998223e+10,5.8372998223e+10
2020-03-15 16:35:00,3.9684745655e+10,3.9684745655e+10,5.6080527095e+10,5.6080527095e+10
2020-03-15 16:40:00,3.5865611154e+10,3.5865611154e+10,4.4227605606e+10,4.4227605606e+10
2020-03-15 16:45:00,3.7557224599e+10,3.7557224599e+10,4.8218468336e+10,4.8218468336e+10
2020-03-15 16:50:00,3.7617703333e+10,3.7617703333e+10,4.6186435474e+10,4.6186435474e+10
2020-03-15 16:55:00,3.5920330248e+10,3.5920330248e+10,3.9169638957e+10,3.9169638957e+10
2020-03-15 17:00:00,4.4299673722e+10,4.4299673722e+10,3.6466384160e+10,3.6466384160e+10
2020-03-15 17:05:00,3.7449089718e+10,3.7449089718e+10,4.8215181381e+10,4.8215181381e+10
2020-03-15 17:10:00,3.4795381583e+10,3.4795381583e+10,6.1046957830e+10,6.1046957830e+10
2020-03-15 17:15:00,3.3749993009e+10,3.3749993009e+10,4.2823786449e+10,4.2823786449e+10
2020-03-15 17:20:00,3.9699312897e+10,3.9699312897e+10,3.3970929822e+10,3.3970929822e+10
2020-03-15 17:25:00,3.6180134087e+10,3.6180134087e+10,3.3530299698e+10,3.3530299698e+10
2020-03-15 17:30:00,3.6495420898e+10,3.6495420898e+10,3.4116713464e+10,3.4116713464e+10
2020-03-15 17:35:00,3.8845616718e+10,3.8845616718e+10,3.7954435014e+10,3.7954435014e+10
