DATE,UKUI,UKUI_peak,UIUK,UIUK_peak
2020-03-15 15:05:00,3.5888958402e+10,3.5888958402e+10,3.6898503134e+10,3.6898503134e+10
2020-03-15 15:10:00,3.2151680151e+10,3.2151680151e+10,3.7118858198e+10,3.7118858198e+10
2020-03-15 15:15:00,4.6449555026e+10,4.6449555026e+10,4.0002368204e+10,4.0002368204e+10
2020-03-15 15:20:00,4.0952662120e+10,4.0952662120e+10,3.4894236469e+10,3.4894236469e+10
2020-03-15 15:25:00,2.9941097612e+10,2.9941097612e+10,2.9926576995e+10,2.9926576995e+10
2020-03-15 15:30:00,5.2575365612e+10,5.2575365612e+10,3.1088001162e+10,3.1088001162e+10
2020-03-15 15:35:00,5.6470411891e+10,5.6470411891e+10,3.4237220465e+10,3.4237220465e+10
2020-03-15 15:40:00,4.8614503134e+10,4.8614503134e+10,3.3396602473e+10,3.3396602473e+10
2020-03-15 15:45:00,4.2811373314e+10,4.2811373314e+10,3.2185896858e+10,3.2185896858e+10
2020-03-15 15:50:00,4.0580600874e+10,4.0580600874e+10,4.0669288945e+10,4.0669288945e+10
2020-03-15 15:55:00,5.0322511291e+10,5.0322511291e+10,4.7034715750e+10,4.7034715750e+10
2020-03-15 16:00:00,4.6968935942e+10,4.6968935942e+10,4.1313891249e+10,4.1313891249e+10
2020-03-15 16:05:00,3.4719329993e+10,3.4719329993e+10,3.9830048770e+10,3.9830048770e+10
2020-03-15 16:10:00,3.7972411046e+10,3.7972411046e+10,4.0791609442e+10,4.0791609442e+10
2020-03-15 16:15:00,3.2347698501e+10,3.2347698501e+10,3.7901333329e+10,3.7901333329e+10
2020-03-15 16:20:00,3.7184362938e+10,3.7184362938e+10,3.6169290238e+10,3.6169290238e+10
2020-03-15 16:25:00,4.5228187633e+10,4.5228187633e+10,5.0829695248e+10,5.0829695248e+10
2020-03-15 16:30:00,6.3804946969e+10,6.3804946969e+10,4.5297637710e+10,4.5297637710e+10
2020-03-15 16:35:00,6.5600748648e+10,6.5600748648e+10,5.1919893960e+10,5.1919893960e+10
2020-03-15 16:40:00,5.3836255889e+10,5.3836255889e+10,5.7995824867e+10,5.7995824867e+10
2020-03-15 16:45:00,3.3981741935e+10,3.3981741935e+10,5.6590541831e+10,5.6590541831e+10
2020-03-15 16:50:00,3.3140781781e+10,3.3140781781e+10,5.8031882873e+10,5.8031882873e+10
2020-03-15 16:55:00,4.6705192759e+10,4.6705192759e+10,5.8909368291e+10,5.8909368291e+10
2020-03-15 17:00:00,5.8423194488e+10,5.8423194488e+10,5.9511432532e+10,5.9511432532e+10
2020-03-15 17:05:00,4.3225370559e+10,4.3225370559e+10,5.0249714991e+10,5.0249714991e+10
2020-03-15 17:10:00,9.4119514480e+10,9.4119514480e+10,4.2125954946e+10,4.2125954946e+10
2020-03-15 17:15:00,8.6992312607e+10,8.6992312607e+10,4.8514523572e+10,4.8514523572e+10
2020-03-15 17:20:00,3.9487174234e+10,3.9487174234e+10,5.0028814177e+10,5.0028814177e+10
2020-03-15 17:25:00,3.3878154142e+10,3.3878154142e+10,4.1405062363e+10,4.1405062363e+10
2020-03-15 17:30:00,3.6179103615e+10,3.6179103615e+10,4.2038596886e+10,4.2038596886e+10
2020-03-15 17:35:00,4.0187916088e+10,4.0187916088e+10,3.3398846164e+10,3.3398846164e+10
2020-03-15 17:40:00,4.7810540903e+10,4.7810540903e+10,3.5138787415e+10,3.5138787415e+10
2020-03-15 17:45:00,4.2522940739e+10,4.2522940739e+10,3.6692308714e+10,3.6692308714e+10
2020-03-15 17:50:00,3.7643209109e+10,3.7643209109e+10,4.0080480238e+10,4.0080480238e+10
2020-03-15 17:55:00,3.3300830540e+10,3.3300830540e+10,4.0079727040e+10,4.0079727040e+10
2020-03-15 18:00:00,5.0559847508e+10,5.0559847508e+10,4.4059689491e+10,4.4059689491e+10
2020-03-15 18:05:00,3.9953355551e+10,3.9953355551e+10,3.8637835905e+10,3.8637835905e+10
2020-03-15 18:10:00,5.3172936690e+10,5.3172936690e+10,3.7735202593e+10,3.7735202593e+10
2020-03-15 18:15:00,7.4355102608e+10,7.4355102608e+10,3.4994263053e+10,3.4994263053e+10
2020-03-15 18:20:00,5.6621979907e+10,5.6621979907e+10,4.1097657349e+10,4.1097657349e+10
2020-03-15 18:25:00,4.2470946748e+10,4.2470946748e+10,3.3103115769e+10,3.3103115769e+10
2020-03-15 18:30:00,4.0462011788e+10,4.0462011788e+10,3.4244071189e+10,3.4244071189e+10
2020-03-15 18:35:00,4.2555986892e+10,4.2555986892e+10,3.7587174519e+10,3.7587174519e+10
2020-03-15 18:40:00,3.4191057666e+10,3.4191057666e+10,3.2552760876e+10,3.2552760876e+10
2020-03-15 18:45:00,4.5147129673e+10,4.5147129673e+10,4.0231695440e+10,4.0231695440e+10
2020-03-15 18:50:00,4.2549861117e+10,4.2549861117e+10,4.2692226022e+10,4.2692226022e+10
2020-03-15 18:55:00,4.4362156171e+10,4.4362156171e+10,5.1295441374e+10,5.1295441374e+10
2020-03-15 19:00:00,4.2917973407e+10,4.2917973407e+10,4.3814085187e+10,4.3814085187e+10
2020-03-15 19:05:00,3.4167120971e+10,3.4167120971e+10,3.4855262047e+10,3.4855262047e+10
2020-03-15 19:10:00,4.0469523632e+10,4.0469523632e+10,3.8238405713e+10,3.8238405713e+10
2020-03-15 19:15:00,4.9038392598e+10,4.9038392598e+10,4.6688046673e+10,4.6688046673e+10
2020-03-15 19:20:00,7.9331968490e+10,7.9331968490e+10,5.4533509266e+10,5.4533509266e+10
2020-03-15 19:25:00,6.2394786092e+10,6.2394786092e+10,6.0605793620e+10,6.0605793620e+10
2020-03-15 19:30:00,4.0476107488e+10,4.0476107488e+10,4.4264813135e+10,4.4264813135e+10
2020-03-15 19:35:00,4.4893911051e+10,4.4893911051e+10,5.1292387348e+10,5.1292387348e+10
2020-03-15 19:40:00,5.5899561213e+10,5.5899561213e+10,5.2116037331e+10,5.2116037331e+10
