DATE,IRIE,IRIE_peak,IEIR,IEIR_peak
2020-03-22 18:35:00,8.8570453179e+07,8.8570453179e+07,2.8924913984e+07,2.8924913984e+07
2020-03-22 18:40:00,7.3180948835e+07,7.3180948835e+07,2.4622041148e+07,2.4622041148e+07
2020-03-22 18:45:00,8.3123842745e+07,8.3123842745e+07,2.7953874517e+07,2.7953874517e+07
2020-03-22 18:50:00,6.9815368450e+07,6.9815368450e+07,2.4514109761e+07,2.4514109761e+07
2020-03-22 18:55:00,7.4589468103e+07,7.4589468103e+07,2.8314164954e+07,2.8314164954e+07
2020-03-22 19:00:00,7.9248673574e+07,7.9248673574e+07,2.3276829007e+07,2.3276829007e+07
2020-03-22 19:05:00,7.8209114599e+07,7.8209114599e+07,4.1954350873e+07,4.1954350873e+07
2020-03-22 19:10:00,7.4587407039e+07,7.4587407039e+07,2.4781414934e+07,2.4781414934e+07
2020-03-22 19:15:00,8.1852991719e+07,8.1852991719e+07,3.1583987414e+07,3.1583987414e+07
2020-03-22 19:20:00,8.9242326197e+07,8.9242326197e+07,7.8728583964e+07,7.8728583964e+07
2020-03-22 19:25:00,9.0953783947e+07,9.0953783947e+07,7.9201173025e+07,7.9201173025e+07
2020-03-22 19:30:00,8.3325419827e+07,8.3325419827e+07,2.6128003449e+07,2.6128003449e+07
2020-03-22 19:35:00,9.5510555483e+07,9.5510555483e+07,6.4788979598e+07,6.4788979598e+07
2020-03-22 19:40:00,8.8787248684e+07,8.8787248684e+07,2.7104865803e+07,2.7104865803e+07
