DATE,LVET,LVET_peak,ETLV,ETLV_peak
2020-03-27 18:55:00,3.1276351656e+09,3.1276351656e+09,9.5566905357e+07,9.5566905357e+07
2020-03-27 19:00:00,7.6376539867e+07,7.6376539867e+07,7.8247149290e+07,7.8247149290e+07
2020-03-27 19:05:00,5.8380772369e+07,5.8380772369e+07,8.2447425114e+07,8.2447425114e+07
2020-03-27 19:10:00,8.6163857204e+07,8.6163857204e+07,8.4863303380e+07,8.4863303380e+07
2020-03-27 19:15:00,4.7210589194e+07,4.7210589194e+07,8.2513556049e+07,8.2513556049e+07
2020-03-27 19:20:00,4.5290722327e+07,4.5290722327e+07,7.2562661898e+07,7.2562661898e+07
2020-03-27 19:25:00,4.3326364695e+07,4.3326364695e+07,7.6715254465e+07,7.6715254465e+07
2020-03-27 19:30:00,3.4544071256e+07,3.4544071256e+07,9.1570307455e+07,9.1570307455e+07
2020-03-27 19:35:00,3.0420818481e+08,3.0420818481e+08,8.8952023909e+07,8.8952023909e+07
2020-03-27 19:40:00,8.1613557352e+08,8.1613557352e+08,7.9223440834e+07,7.9223440834e+07
2020-03-27 19:45:00,9.1317345795e+08,9.1317345795e+08,8.3094077704e+07,8.3094077704e+07
2020-03-27 19:50:00,8.2004853954e+08,8.2004853954e+08,8.5413963959e+07,8.5413963959e+07
2020-03-27 19:55:00,7.1263354077e+08,7.1263354077e+08,7.6777646309e+07,7.6777646309e+07
2020-03-27 20:00:00,1.0801842558e+09,1.0801842558e+09,1.0658302971e+08,1.0658302971e+08
2020-03-27 20:05:00,3.7755842305e+09,3.7755842305e+09,1.1667006180e+08,1.1667006180e+08
2020-03-27 20:10:00,3.9356481164e+09,3.9356481164e+09,8.6275874627e+07,8.6275874627e+07
2020-03-27 20:15:00,3.9716879526e+09,3.9716879526e+09,8.0159988825e+07,8.0159988825e+07
2020-03-27 20:20:00,3.8159753289e+09,3.8159753289e+09,8.5630512379e+07,8.5630512379e+07
2020-03-27 20:25:00,3.8500117120e+09,3.8500117120e+09,9.0139275241e+07,9.0139275241e+07
2020-03-27 20:30:00,3.8846294202e+09,3.8846294202e+09,9.1564015547e+07,9.1564015547e+07
2020-03-27 20:35:00,3.9370184416e+09,3.9370184416e+09,9.4352872451e+07,9.4352872451e+07
2020-03-27 20:40:00,3.8012789649e+09,3.8012789649e+09,1.1976567803e+08,1.1976567803e+08
2020-03-27 20:45:00,3.8729699524e+09,3.8729699524e+09,8.0193054144e+07,8.0193054144e+07
2020-03-27 20:50:00,3.8642412809e+09,3.8642412809e+09,9.5723771038e+07,9.5723771038e+07
2020-03-27 20:55:00,3.8180440216e+09,3.8180440216e+09,9.5476751944e+07,9.5476751944e+07
2020-03-27 21:00:00,3.9186153056e+09,3.9186153056e+09,1.1464255966e+08,1.1464255966e+08
2020-03-27 21:05:00,3.7226309293e+09,3.7226309293e+09,1.6116349684e+08,1.6116349684e+08
2020-03-27 21:10:00,3.8406811751e+09,3.8406811751e+09,1.2074060063e+08,1.2074060063e+08
2020-03-27 21:15:00,3.8459009933e+09,3.8459009933e+09,8.4709378064e+07,8.4709378064e+07
2020-03-27 21:20:00,3.8582277975e+09,3.8582277975e+09,8.1874159784e+07,8.1874159784e+07
2020-03-27 21:25:00,3.7433946357e+09,3.7433946357e+09,9.0018127369e+07,9.0018127369e+07
2020-03-27 21:30:00,3.8419068273e+09,3.8419068273e+09,1.0373999552e+08,1.0373999552e+08
2020-03-27 21:35:00,3.8478227947e+09,3.8478227947e+09,8.5234924036e+07,8.5234924036e+07
2020-03-27 21:40:00,3.8506992050e+09,3.8506992050e+09,7.5869193921e+07,7.5869193921e+07
2020-03-27 21:45:00,3.6846852613e+09,3.6846852613e+09,1.0571066109e+08,1.0571066109e+08
2020-03-27 21:50:00,3.8414426504e+09,3.8414426504e+09,6.9606669488e+07,6.9606669488e+07
2020-03-27 21:55:00,3.8315526930e+09,3.8315526930e+09,7.5931078253e+07,7.5931078253e+07
2020-03-27 22:00:00,3.9865924237e+09,3.9865924237e+09,9.6077503866e+07,9.6077503866e+07
2020-03-27 22:05:00,3.6863459332e+09,3.6863459332e+09,9.8340832202e+07,9.8340832202e+07
2020-03-27 22:10:00,3.7470732756e+09,3.7470732756e+09,1.0106581581e+08,1.0106581581e+08
