DATE,NLDE,NLDE_peak,DENL,DENL_peak
2020-03-30 16:40:00,4.1225072024e+10,4.1225072024e+10,3.6310486106e+10,3.6310486106e+10
2020-03-30 16:45:00,4.0053234739e+10,4.0053234739e+10,3.6101450490e+10,3.6101450490e+10
2020-03-30 16:50:00,3.6811618720e+10,3.6811618720e+10,3.3099038937e+10,3.3099038937e+10
2020-03-30 16:55:00,3.3590462476e+10,3.3590462476e+10,3.0859882759e+10,3.0859882759e+10
2020-03-30 17:00:00,3.5563187047e+10,3.5563187047e+10,3.5574934249e+10,3.5574934249e+10
2020-03-30 17:05:00,3.9327675640e+10,3.9327675640e+10,3.6690482430e+10,3.6690482430e+10
2020-03-30 17:10:00,3.8824906430e+10,3.8824906430e+10,4.2908343081e+10,4.2908343081e+10
2020-03-30 17:15:00,4.5292909186e+10,4.5292909186e+10,4.2078401745e+10,4.2078401745e+10
2020-03-30 17:20:00,4.9502403678e+10,4.9502403678e+10,4.5264838926e+10,4.5264838926e+10
2020-03-30 17:25:00,4.3156019857e+10,4.3156019857e+10,4.4551019691e+10,4.4551019691e+10
2020-03-30 17:30:00,4.4714994292e+10,4.4714994292e+10,4.5739217123e+10,4.5739217123e+10
2020-03-30 17:35:00,4.0284050524e+10,4.0284050524e+10,4.0743441750e+10,4.0743441750e+10
2020-03-30 17:40:00,4.3097959931e+10,4.3097959931e+10,5.1495408789e+10,5.1495408789e+10
2020-03-30 17:45:00,4.5575125430e+10,4.5575125430e+10,4.7543853536e+10,4.7543853536e+10
2020-03-30 17:50:00,4.2964758316e+10,4.2964758316e+10,4.4639318487e+10,4.4639318487e+10
2020-03-30 17:55:00,4.2372485124e+10,4.2372485124e+10,5.0209511237e+10,5.0209511237e+10
2020-03-30 18:00:00,3.8680486362e+10,3.8680486362e+10,5.8672050115e+10,5.8672050115e+10
2020-03-30 18:05:00,4.1969349780e+10,4.1969349780e+10,5.6595382692e+10,5.6595382692e+10
2020-03-30 18:10:00,4.4023683191e+10,4.4023683191e+10,4.2734503712e+10,4.2734503712e+10
2020-03-30 18:15:00,4.2605474699e+10,4.2605474699e+10,4.5969823528e+10,4.5969823528e+10
2020-03-30 18:20:00,4.4802578398e+10,4.4802578398e+10,4.5365825186e+10,4.5365825186e+10
2020-03-30 18:25:00,4.5969270915e+10,4.5969270915e+10,4.3957173714e+10,4.3957173714e+10
2020-03-30 18:30:00,4.9346285572e+10,4.9346285572e+10,4.9958679623e+10,4.9958679623e+10
2020-03-30 18:35:00,4.4681754320e+10,4.4681754320e+10,3.7352558389e+10,3.7352558389e+10
2020-03-30 18:40:00,4.1884127690e+10,4.1884127690e+10,3.8526714251e+10,3.8526714251e+10
2020-03-30 18:45:00,4.3285810041e+10,4.3285810041e+10,4.7645212623e+10,4.7645212623e+10
2020-03-30 18:50:00,3.9164045663e+10,3.9164045663e+10,5.3897519578e+10,5.3897519578e+10
2020-03-30 18:55:00,4.0714340012e+10,4.0714340012e+10,4.9403306015e+10,4.9403306015e+10
2020-03-30 19:00:00,4.1863264185e+10,4.1863264185e+10,5.5112398613e+10,5.5112398613e+10
2020-03-30 19:05:00,3.5258232045e+10,3.5258232045e+10,5.8104766355e+10,5.8104766355e+10
2020-03-30 19:10:00,3.9378929310e+10,3.9378929310e+10,6.0902862231e+10,6.0902862231e+10
2020-03-30 19:15:00,3.5878904040e+10,3.5878904040e+10,5.4171467715e+10,5.4171467715e+10
2020-03-30 19:20:00,3.9282467617e+10,3.9282467617e+10,5.2102629242e+10,5.2102629242e+10
2020-03-30 19:25:00,3.6526256504e+10,3.6526256504e+10,5.3290062274e+10,5.3290062274e+10
2020-03-30 19:30:00,4.3321662210e+10,4.3321662210e+10,5.9519733195e+10,5.9519733195e+10
2020-03-30 19:35:00,4.8619752886e+10,4.8619752886e+10,5.0190553987e+10,5.0190553987e+10
2020-03-30 19:40:00,4.3391962602e+10,4.3391962602e+10,5.5721255227e+10,5.5721255227e+10
2020-03-30 19:45:00,3.7933696983e+10,3.7933696983e+10,5.6910506935e+10,5.6910506935e+10
2020-03-30 19:50:00,4.2776327925e+10,4.2776327925e+10,5.4977859032e+10,5.4977859032e+10
2020-03-30 19:55:00,3.4212919226e+10,3.4212919226e+10,4.9447793651e+10,4.9447793651e+10
2020-03-30 20:00:00,3.4772747955e+10,3.4772747955e+10,4.6997835077e+10,4.6997835077e+10
2020-03-30 20:05:00,3.2754872757e+10,3.2754872757e+10,4.4518941547e+10,4.4518941547e+10
2020-03-30 20:10:00,3.2719663778e+10,3.2719663778e+10,4.3577555023e+10,4.3577555023e+10
2020-03-30 20:15:00,3.5256040178e+10,3.5256040178e+10,4.6370938358e+10,4.6370938358e+10
2020-03-30 20:20:00,3.2479285547e+10,3.2479285547e+10,4.4027580131e+10,4.4027580131e+10
2020-03-30 20:25:00,3.4583275876e+10,3.4583275876e+10,3.9594853516e+10,3.9594853516e+10
2020-03-30 20:30:00,3.0311418526e+10,3.0311418526e+10,4.2487274154e+10,4.2487274154e+10
2020-03-30 20:35:00,4.1076680116e+10,4.1076680116e+10,4.4270558811e+10,4.4270558811e+10
2020-03-30 20:40:00,3.5658061377e+10,3.5658061377e+10,4.2609997493e+10,4.2609997493e+10
2020-03-30 20:45:00,3.8078911758e+10,3.8078911758e+10,4.2077322529e+10,4.2077322529e+10
2020-03-30 20:50:00,3.5623451247e+10,3.5623451247e+10,3.7990063753e+10,3.7990063753e+10
2020-03-30 20:55:00,3.7372795023e+10,3.7372795023e+10,3.9295481394e+10,3.9295481394e+10
2020-03-30 21:00:00,3.7276675703e+10,3.7276675703e+10,3.8247539169e+10,3.8247539169e+10
