DATE,ITAT,ITAT_peak,ATIT,ATIT_peak
2020-03-15 13:05:00,3.4889279334e+09,3.4889279334e+09,1.5728692632e+10,1.5728692632e+10
2020-03-15 13:10:00,3.0384052230e+09,3.0384052230e+09,1.3688389492e+10,1.3688389492e+10
2020-03-15 13:15:00,2.8970621426e+09,2.8970621426e+09,1.3755215883e+10,1.3755215883e+10
2020-03-15 13:20:00,2.8486405780e+09,2.8486405780e+09,1.3732470693e+10,1.3732470693e+10
2020-03-15 13:25:00,2.8878829344e+09,2.8878829344e+09,1.2870398421e+10,1.2870398421e+10
2020-03-15 13:30:00,3.4735680721e+09,3.4735680721e+09,1.2613220463e+10,1.2613220463e+10
2020-03-15 13:35:00,3.3060247581e+09,3.3060247581e+09,1.1955179307e+10,1.1955179307e+10
2020-03-15 13:40:00,3.2382176374e+09,3.2382176374e+09,1.1006836736e+10,1.1006836736e+10
2020-03-15 13:45:00,3.1491666953e+09,3.1491666953e+09,1.1149279091e+10,1.1149279091e+10
2020-03-15 13:50:00,3.2398369172e+09,3.2398369172e+09,1.1741987226e+10,1.1741987226e+10
2020-03-15 13:55:00,4.1433020462e+09,4.1433020462e+09,1.1716976191e+10,1.1716976191e+10
2020-03-15 14:00:00,3.2583660679e+09,3.2583660679e+09,1.1757160921e+10,1.1757160921e+10
2020-03-15 14:05:00,3.1622892480e+09,3.1622892480e+09,1.1181740805e+10,1.1181740805e+10
2020-03-15 14:10:00,4.1044437611e+09,4.1044437611e+09,1.3451442324e+10,1.3451442324e+10
2020-03-15 14:15:00,3.3030244647e+09,3.3030244647e+09,1.2065312067e+10,1.2065312067e+10
2020-03-15 14:20:00,3.7420718947e+09,3.7420718947e+09,1.1566152207e+10,1.1566152207e+10
2020-03-15 14:25:00,4.3751370020e+09,4.3751370020e+09,1.1190175288e+10,1.1190175288e+10
2020-03-15 14:30:00,3.4379325165e+09,3.4379325165e+09,1.1343078825e+10,1.1343078825e+10
2020-03-15 14:35:00,3.5813332001e+09,3.5813332001e+09,1.3701106538e+10,1.3701106538e+10
2020-03-15 14:40:00,4.5704205508e+09,4.5704205508e+09,1.6098580380e+10,1.6098580380e+10
2020-03-15 14:45:00,3.7198235255e+09,3.7198235255e+09,1.3927378228e+10,1.3927378228e+10
2020-03-15 14:50:00,4.4819389982e+09,4.4819389982e+09,1.3026724230e+10,1.3026724230e+10
2020-03-15 14:55:00,5.9375852507e+09,5.9375852507e+09,1.5016504823e+10,1.5016504823e+10
2020-03-15 15:00:00,7.1878236771e+09,7.1878236771e+09,1.9173052952e+10,1.9173052952e+10
2020-03-15 15:05:00,4.6675480917e+09,4.6675480917e+09,1.7321730302e+10,1.7321730302e+10
2020-03-15 15:10:00,3.6063262492e+09,3.6063262492e+09,1.9547254079e+10,1.9547254079e+10
2020-03-15 15:15:00,4.4325816314e+09,4.4325816314e+09,2.0622904149e+10,2.0622904149e+10
2020-03-15 15:20:00,4.6185176278e+09,4.6185176278e+09,1.7509081275e+10,1.7509081275e+10
2020-03-15 15:25:00,4.5299467888e+09,4.5299467888e+09,1.6006232288e+10,1.6006232288e+10
2020-03-15 15:30:00,3.8953758860e+09,3.8953758860e+09,1.9905323234e+10,1.9905323234e+10
2020-03-15 15:35:00,3.6476046000e+09,3.6476046000e+09,1.9218882806e+10,1.9218882806e+10
2020-03-15 15:40:00,4.4740758012e+09,4.4740758012e+09,1.8046705188e+10,1.8046705188e+10
2020-03-15 15:45:00,4.1791002102e+09,4.1791002102e+09,1.5215975028e+10,1.5215975028e+10
2020-03-15 15:50:00,4.5578728789e+09,4.5578728789e+09,1.2989148433e+10,1.2989148433e+10
2020-03-15 15:55:00,5.0138409313e+09,5.0138409313e+09,1.2176579886e+10,1.2176579886e+10
2020-03-15 16:00:00,4.2973648054e+09,4.2973648054e+09,1.3102036554e+10,1.3102036554e+10
2020-03-15 16:05:00,3.7311026208e+09,3.7311026208e+09,1.1605056662e+10,1.1605056662e+10
2020-03-15 16:10:00,3.2784108723e+09,3.2784108723e+09,1.0646267518e+10,1.0646267518e+10
2020-03-15 16:15:00,3.0796362655e+09,3.0796362655e+09,1.1634786229e+10,1.1634786229e+10
2020-03-15 16:20:00,4.3606542509e+09,4.3606542509e+09,1.4297313115e+10,1.4297313115e+10
2020-03-15 16:25:00,4.6829640776e+09,4.6829640776e+09,1.4205264115e+10,1.4205264115e+10
2020-03-15 16:30:00,4.4767357291e+09,4.4767357291e+09,1.6208992822e+10,1.6208992822e+10
2020-03-15 16:35:00,3.4865715080e+09,3.4865715080e+09,1.5779367984e+10,1.5779367984e+10
2020-03-15 16:40:00,3.1484859909e+09,3.1484859909e+09,1.4502525124e+10,1.4502525124e+10
2020-03-15 16:45:00,3.4978313337e+09,3.4978313337e+09,1.4732225703e+10,1.4732225703e+10
2020-03-15 16:50:00,3.9041179121e+09,3.9041179121e+09,2.8039498258e+10,2.8039498258e+10
2020-03-15 16:55:00,3.5972686117e+09,3.5972686117e+09,2.1525401918e+10,2.1525401918e+10
2020-03-15 17:00:00,3.8938883757e+09,3.8938883757e+09,1.5134188345e+10,1.5134188345e+10
2020-03-15 17:05:00,3.1831899220e+09,3.1831899220e+09,1.6966436792e+10,1.6966436792e+10
2020-03-15 17:10:00,3.3013996507e+09,3.3013996507e+09,2.3307805603e+10,2.3307805603e+10
2020-03-15 17:15:00,3.2151336633e+09,3.2151336633e+09,1.9820084152e+10,1.9820084152e+10
2020-03-15 17:20:00,3.4219582794e+09,3.4219582794e+09,1.5060351775e+10,1.5060351775e+10
2020-03-15 17:25:00,3.2102310260e+09,3.2102310260e+09,1.3472929041e+10,1.3472929041e+10
2020-03-15 17:30:00,3.5859011196e+09,3.5859011196e+09,1.8159719084e+10,1.8159719084e+10
2020-03-15 17:35:00,2.9047915436e+09,2.9047915436e+09,1.8169556165e+10,1.8169556165e+10
2020-03-15 17:40:00,2.6410015785e+09,2.6410015785e+09,2.0241118270e+10,2.0241118270e+10
2020-03-15 17:45:00,3.2004258186e+09,3.2004258186e+09,2.2551475413e+10,2.2551475413e+10
2020-03-15 17:50:00,3.0904436111e+09,3.0904436111e+09,1.9850661305e+10,1.9850661305e+10
2020-03-15 17:55:00,2.9823945680e+09,2.9823945680e+09,1.9153612933e+10,1.9153612933e+10
2020-03-15 18:00:00,3.3472628170e+09,3.3472628170e+09,2.2800942829e+10,2.2800942829e+10
2020-03-15 18:05:00,3.3169369900e+09,3.3169369900e+09,2.2496258023e+10,2.2496258023e+10
2020-03-15 18:10:00,3.3003138883e+09,3.3003138883e+09,2.2286457923e+10,2.2286457923e+10
2020-03-15 18:15:00,2.8967053331e+09,2.8967053331e+09,2.2954002639e+10,2.2954002639e+10
2020-03-15 18:20:00,3.1735101723e+09,3.1735101723e+09,2.2640132232e+10,2.2640132232e+10
2020-03-15 18:25:00,2.7606816149e+09,2.7606816149e+09,2.6751545755e+10,2.6751545755e+10
2020-03-15 18:30:00,2.7481672071e+09,2.7481672071e+09,3.1018410067e+10,3.1018410067e+10
2020-03-15 18:35:00,3.0092754105e+09,3.0092754105e+09,3.2784390589e+10,3.2784390589e+10
2020-03-15 18:40:00,3.4847047856e+09,3.4847047856e+09,3.3124843147e+10,3.3124843147e+10
2020-03-15 18:45:00,3.7698779585e+09,3.7698779585e+09,3.5031475606e+10,3.5031475606e+10
2020-03-15 18:50:00,2.9683215283e+09,2.9683215283e+09,3.5027404618e+10,3.5027404618e+10
2020-03-15 18:55:00,3.6095294977e+09,3.6095294977e+09,3.4941118227e+10,3.4941118227e+10
2020-03-15 19:00:00,3.7366884836e+09,3.7366884836e+09,2.6920877217e+10,2.6920877217e+10
2020-03-15 19:05:00,3.5370846530e+09,3.5370846530e+09,1.9070696328e+10,1.9070696328e+10
2020-03-15 19:10:00,3.1047773577e+09,3.1047773577e+09,1.5358368335e+10,1.5358368335e+10
2020-03-15 19:15:00,2.1489727204e+09,2.1489727204e+09,1.6680423027e+10,1.6680423027e+10
2020-03-15 19:20:00,2.5535673235e+09,2.5535673235e+09,1.6562437080e+10,1.6562437080e+10
2020-03-15 19:25:00,2.7827635878e+09,2.7827635878e+09,1.7948001325e+10,1.7948001325e+10
2020-03-15 19:30:00,3.4303978575e+09,3.4303978575e+09,1.6247576056e+10,1.6247576056e+10
2020-03-15 19:35:00,4.4298559288e+09,4.4298559288e+09,1.8728400968e+10,1.8728400968e+10
2020-03-15 19:40:00,4.0859194616e+09,4.0859194616e+09,2.2883847779e+10,2.2883847779e+10
