DATE,NLBE,NLBE_peak,BENL,BENL_peak
2020-03-17 08:20:00,5.6855021973e+05,5.6855021973e+05,6.4026632373e+05,6.4026632373e+05
2020-03-17 08:25:00,5.3742846973e+05,5.3742846973e+05,5.9879647371e+05,5.9879647371e+05
2020-03-17 08:30:00,5.2955486520e+05,5.2955486520e+05,7.3820763189e+05,7.3820763189e+05
2020-03-17 08:35:00,5.1377897813e+05,5.1377897813e+05,5.6021064231e+05,5.6021064231e+05
2020-03-17 08:40:00,5.2649806160e+05,5.2649806160e+05,5.7414274183e+05,5.7414274183e+05
2020-03-17 08:45:00,5.1351948613e+05,5.1351948613e+05,5.5451119106e+05,5.5451119106e+05
2020-03-17 08:50:00,5.3774028671e+05,5.3774028671e+05,5.8279096776e+05,5.8279096776e+05
2020-03-17 08:55:00,5.2442127284e+05,5.2442127284e+05,6.6811893416e+05,6.6811893416e+05
2020-03-17 09:00:00,5.3887365673e+05,5.3887365673e+05,7.6871671914e+05,7.6871671914e+05
2020-03-17 09:05:00,5.4003984466e+05,5.4003984466e+05,7.5079942933e+05,7.5079942933e+05
2020-03-17 09:10:00,5.2530549071e+05,5.2530549071e+05,6.7971920534e+05,6.7971920534e+05
2020-03-17 09:15:00,5.1942048587e+05,5.1942048587e+05,6.6952924924e+05,6.6952924924e+05
2020-03-17 09:20:00,5.2190716983e+05,5.2190716983e+05,6.6620974795e+05,6.6620974795e+05
2020-03-17 09:25:00,5.1179589725e+05,5.1179589725e+05,6.5597160964e+05,6.5597160964e+05
2020-03-17 09:30:00,5.2106121008e+05,5.2106121008e+05,7.4458472188e+05,7.4458472188e+05
2020-03-17 09:35:00,5.2242754524e+05,5.2242754524e+05,6.7250479396e+05,6.7250479396e+05
2020-03-17 09:40:00,5.2773142565e+05,5.2773142565e+05,7.6126113934e+05,7.6126113934e+05
2020-03-17 09:45:00,5.2832437626e+05,5.2832437626e+05,6.7246061698e+05,6.7246061698e+05
2020-03-17 09:50:00,5.3558983631e+05,5.3558983631e+05,6.9185336012e+05,6.9185336012e+05
2020-03-17 09:55:00,5.0666926863e+05,5.0666926863e+05,6.5364723149e+05,6.5364723149e+05
2020-03-17 10:00:00,5.2598084262e+05,5.2598084262e+05,7.1751600736e+05,7.1751600736e+05
2020-03-17 10:05:00,5.4091644342e+05,5.4091644342e+05,7.6966547084e+05,7.6966547084e+05
2020-03-17 10:10:00,5.5032201920e+05,5.5032201920e+05,7.5980473920e+05,7.5980473920e+05
2020-03-17 10:15:00,5.1609289156e+05,5.1609289156e+05,8.2263450400e+05,8.2263450400e+05
2020-03-17 10:20:00,5.2003762850e+05,5.2003762850e+05,6.9781511195e+05,6.9781511195e+05
2020-03-17 10:25:00,5.1994021019e+05,5.1994021019e+05,6.6692663153e+05,6.6692663153e+05
2020-03-17 10:30:00,5.2194077820e+05,5.2194077820e+05,6.7376876265e+05,6.7376876265e+05
2020-03-17 10:35:00,5.1217170096e+05,5.1217170096e+05,7.3012083102e+05,7.3012083102e+05
2020-03-17 10:40:00,5.2236600950e+05,5.2236600950e+05,6.7537642952e+05,6.7537642952e+05
2020-03-17 10:45:00,5.1471831568e+05,5.1471831568e+05,6.5593450586e+05,6.5593450586e+05
2020-03-17 10:50:00,5.3288701991e+05,5.3288701991e+05,7.5270538702e+05,7.5270538702e+05
2020-03-17 10:55:00,5.1450352216e+05,5.1450352216e+05,6.6096745736e+05,6.6096745736e+05
2020-03-17 11:00:00,5.2593395322e+05,5.2593395322e+05,6.4932095162e+05,6.4932095162e+05
2020-03-17 11:05:00,5.4055076513e+05,5.4055076513e+05,6.4684555125e+05,6.4684555125e+05
2020-03-17 11:10:00,5.1721854517e+05,5.1721854517e+05,5.6391994887e+05,5.6391994887e+05
2020-03-17 11:15:00,5.1878957930e+05,5.1878957930e+05,5.6825303801e+05,5.6825303801e+05
2020-03-17 11:20:00,5.1137460685e+05,5.1137460685e+05,6.3217965838e+05,6.3217965838e+05
2020-03-17 11:25:00,5.1948887795e+05,5.1948887795e+05,5.6594138918e+05,5.6594138918e+05
2020-03-17 11:30:00,5.0877496764e+05,5.0877496764e+05,5.5161264676e+05,5.5161264676e+05
2020-03-17 11:35:00,5.2976104750e+05,5.2976104750e+05,6.3938127379e+05,6.3938127379e+05
2020-03-17 11:40:00,5.1924424653e+05,5.1924424653e+05,5.6917146736e+05,5.6917146736e+05
2020-03-17 11:45:00,5.3070894650e+05,5.3070894650e+05,5.6208378205e+05,5.6208378205e+05
2020-03-17 11:50:00,5.3016534293e+05,5.3016534293e+05,5.5720366542e+05,5.5720366542e+05
