DATE,PTUK,PTUK_peak,UKPT,PTUK_peak
2020-03-24 07:30:00,3.9755136981e+08,3.9755136981e+08,1.7863523024e+08,1.7863523024e+08
2020-03-24 07:35:00,2.4492753191e+08,2.4492753191e+08,2.1598930465e+08,2.1598930465e+08
2020-03-24 07:40:00,3.9233349106e+08,3.9233349106e+08,1.8736052396e+08,1.8736052396e+08
2020-03-24 07:45:00,4.2749383390e+08,4.2749383390e+08,2.0179644583e+08,2.0179644583e+08
2020-03-24 07:50:00,3.0105429057e+08,3.0105429057e+08,2.1216540811e+08,2.1216540811e+08
2020-03-24 07:55:00,2.9236356960e+08,2.9236356960e+08,2.5153744599e+08,2.5153744599e+08
2020-03-24 08:00:00,2.3381503203e+08,2.3381503203e+08,2.7276045031e+08,2.7276045031e+08
2020-03-24 08:05:00,2.7862908004e+08,2.7862908004e+08,2.6421622713e+08,2.6421622713e+08
2020-03-24 08:10:00,5.0371879046e+08,5.0371879046e+08,2.3569122749e+08,2.3569122749e+08
2020-03-24 08:15:00,2.7292475702e+08,2.7292475702e+08,2.2920815183e+08,2.2920815183e+08
2020-03-24 08:20:00,9.9032291339e+08,9.9032291339e+08,1.8578797023e+08,1.8578797023e+08
2020-03-24 08:25:00,4.9552539363e+08,4.9552539363e+08,1.8170391183e+08,1.8170391183e+08
2020-03-24 08:30:00,3.3065896028e+08,3.3065896028e+08,1.9139552475e+08,1.9139552475e+08
2020-03-24 08:35:00,3.8272205618e+08,3.8272205618e+08,2.1463902774e+08,2.1463902774e+08
2020-03-24 08:40:00,3.8292183076e+08,3.8292183076e+08,4.5308460644e+08,4.5308460644e+08
2020-03-24 08:45:00,3.6289423309e+08,3.6289423309e+08,4.5569647523e+08,4.5569647523e+08
2020-03-24 08:50:00,4.4591140084e+08,4.4591140084e+08,2.3954882564e+08,2.3954882564e+08
2020-03-24 08:55:00,4.4596315590e+08,4.4596315590e+08,2.5114120271e+08,2.5114120271e+08
2020-03-24 09:00:00,5.2253128788e+08,5.2253128788e+08,1.9780843995e+08,1.9780843995e+08
2020-03-24 09:05:00,1.1608990748e+09,1.1608990748e+09,2.3263629904e+08,2.3263629904e+08
2020-03-24 09:10:00,1.4632682773e+09,1.4632682773e+09,2.3362089671e+08,2.3362089671e+08
2020-03-24 09:15:00,1.4501986143e+09,1.4501986143e+09,2.6021298554e+08,2.6021298554e+08
2020-03-24 09:20:00,1.4405925670e+09,1.4405925670e+09,3.6710263161e+08,3.6710263161e+08
2020-03-24 09:25:00,2.1048032617e+09,2.1048032617e+09,2.9182661765e+08,2.9182661765e+08
2020-03-24 09:30:00,1.7383382850e+09,1.7383382850e+09,2.9352019376e+08,2.9352019376e+08
2020-03-24 09:35:00,2.2355967718e+09,2.2355967718e+09,3.4409166339e+08,3.4409166339e+08
2020-03-24 09:40:00,1.6031846455e+09,1.6031846455e+09,3.6631140743e+08,3.6631140743e+08
2020-03-24 09:45:00,1.2389417521e+09,1.2389417521e+09,3.3850596701e+08,3.3850596701e+08
2020-03-24 09:50:00,1.0230616021e+09,1.0230616021e+09,3.3937301132e+08,3.3937301132e+08
2020-03-24 09:55:00,8.4893282256e+08,8.4893282256e+08,2.6827216172e+08,2.6827216172e+08
2020-03-24 10:00:00,8.4620244709e+08,8.4620244709e+08,3.0384718462e+08,3.0384718462e+08
2020-03-24 10:05:00,8.1436928042e+08,8.1436928042e+08,3.4270138929e+08,3.4270138929e+08
2020-03-24 10:10:00,9.2609416742e+08,9.2609416742e+08,4.8871130963e+08,4.8871130963e+08
2020-03-24 10:15:00,9.8093012654e+08,9.8093012654e+08,4.4048433755e+08,4.4048433755e+08
2020-03-24 10:20:00,1.0553263057e+09,1.0553263057e+09,3.3591687399e+08,3.3591687399e+08
2020-03-24 10:25:00,1.1695135754e+09,1.1695135754e+09,4.3418317831e+08,4.3418317831e+08
2020-03-24 10:30:00,1.0802095395e+09,1.0802095395e+09,4.0177274693e+08,4.0177274693e+08
