DATE,SIIT,SIIT_peak,ITSI,ITSI_peak
2020-03-26 16:05:00,9.6318492329e+09,9.6318492329e+09,7.0063066183e+09,7.0063066183e+09
2020-03-26 16:10:00,1.0812066453e+10,1.0812066453e+10,6.6040100195e+09,6.6040100195e+09
2020-03-26 16:15:00,7.1024846549e+09,7.1024846549e+09,5.0352915008e+09,5.0352915008e+09
2020-03-26 16:20:00,1.3931837339e+10,1.3931837339e+10,4.1062891530e+09,4.1062891530e+09
2020-03-26 16:25:00,9.6766838068e+09,9.6766838068e+09,3.5530646537e+09,3.5530646537e+09
2020-03-26 16:30:00,7.5527233092e+09,7.5527233092e+09,4.2446378305e+09,4.2446378305e+09
2020-03-26 16:35:00,1.0262011948e+10,1.0262011948e+10,4.3189434007e+09,4.3189434007e+09
2020-03-26 16:40:00,7.2229147285e+09,7.2229147285e+09,3.8946542245e+09,3.8946542245e+09
2020-03-26 16:45:00,1.2938909693e+10,1.2938909693e+10,3.7735096629e+09,3.7735096629e+09
2020-03-26 16:50:00,6.8973720931e+09,6.8973720931e+09,3.1999762284e+09,3.1999762284e+09
2020-03-26 16:55:00,5.0203462173e+09,5.0203462173e+09,4.6991478784e+09,4.6991478784e+09
2020-03-26 17:00:00,4.4713924455e+09,4.4713924455e+09,3.8698426361e+09,3.8698426361e+09
2020-03-26 17:05:00,5.7141874806e+09,5.7141874806e+09,8.0775328103e+09,8.0775328103e+09
2020-03-26 17:10:00,1.2897845408e+10,1.2897845408e+10,3.7290975730e+09,3.7290975730e+09
2020-03-26 17:15:00,8.3340131196e+09,8.3340131196e+09,2.6921999744e+09,2.6921999744e+09
2020-03-26 17:20:00,4.9763088657e+09,4.9763088657e+09,2.5279684279e+09,2.5279684279e+09
2020-03-26 17:25:00,6.4890231028e+09,6.4890231028e+09,4.0718838534e+09,4.0718838534e+09
2020-03-26 17:30:00,7.5463911032e+09,7.5463911032e+09,3.1617851161e+09,3.1617851161e+09
2020-03-26 17:35:00,9.4821732752e+09,9.4821732752e+09,2.8302803056e+09,2.8302803056e+09
2020-03-26 17:40:00,9.9232250884e+09,9.9232250884e+09,3.0736071328e+09,3.0736071328e+09
2020-03-26 17:45:00,1.1517932943e+10,1.1517932943e+10,5.1876056104e+09,5.1876056104e+09
2020-03-26 17:50:00,1.0485340952e+10,1.0485340952e+10,4.1629812578e+09,4.1629812578e+09
2020-03-26 17:55:00,8.1863006508e+09,8.1863006508e+09,2.1173629482e+09,2.1173629482e+09
2020-03-26 18:00:00,7.1995212247e+09,7.1995212247e+09,5.5098415165e+09,5.5098415165e+09
2020-03-26 18:05:00,7.4263971481e+09,7.4263971481e+09,5.3009528007e+09,5.3009528007e+09
2020-03-26 18:10:00,1.2208130142e+10,1.2208130142e+10,4.1084020322e+09,4.1084020322e+09
2020-03-26 18:15:00,6.4911770178e+09,6.4911770178e+09,4.4914687256e+09,4.4914687256e+09
2020-03-26 18:20:00,8.1791327517e+09,8.1791327517e+09,3.7943680563e+09,3.7943680563e+09
2020-03-26 18:25:00,7.2271071811e+09,7.2271071811e+09,3.1738440669e+09,3.1738440669e+09
2020-03-26 18:30:00,6.1281712203e+09,6.1281712203e+09,2.5083630289e+09,2.5083630289e+09
