DATE,CHIT,CHIT_peak,ITCH,CHIT_peak
2020-03-27 19:10:00,3.2965019321e+10,3.2965019321e+10,2.7504724007e+10,2.7504724007e+10
2020-03-27 19:15:00,3.0655970713e+10,3.0655970713e+10,2.9228018969e+10,2.9228018969e+10
2020-03-27 19:20:00,2.7635204807e+10,2.7635204807e+10,2.5613227068e+10,2.5613227068e+10
2020-03-27 19:25:00,2.2859420440e+10,2.2859420440e+10,2.9520857247e+10,2.9520857247e+10
2020-03-27 19:30:00,2.3515921711e+10,2.3515921711e+10,3.1650747830e+10,3.1650747830e+10
2020-03-27 19:35:00,2.5938961460e+10,2.5938961460e+10,3.1187873721e+10,3.1187873721e+10
2020-03-27 19:40:00,2.8964976950e+10,2.8964976950e+10,3.1691749499e+10,3.1691749499e+10
2020-03-27 19:45:00,3.1129611488e+10,3.1129611488e+10,3.1764104252e+10,3.1764104252e+10
2020-03-27 19:50:00,2.7802604578e+10,2.7802604578e+10,2.8770441781e+10,2.8770441781e+10
2020-03-27 19:55:00,3.4681577959e+10,3.4681577959e+10,2.7434403387e+10,2.7434403387e+10
2020-03-27 20:00:00,2.9508940106e+10,2.9508940106e+10,3.0986898838e+10,3.0986898838e+10
2020-03-27 20:05:00,3.4307266162e+10,3.4307266162e+10,3.3562708456e+10,3.3562708456e+10
2020-03-27 20:10:00,3.6911612666e+10,3.6911612666e+10,3.1323165113e+10,3.1323165113e+10
2020-03-27 20:15:00,3.3033656857e+10,3.3033656857e+10,2.9359531826e+10,2.9359531826e+10
2020-03-27 20:20:00,2.8039713700e+10,2.8039713700e+10,2.6046582497e+10,2.6046582497e+10
2020-03-27 20:25:00,3.3346027530e+10,3.3346027530e+10,2.6854225615e+10,2.6854225615e+10
2020-03-27 20:30:00,2.9379792219e+10,2.9379792219e+10,2.8114759184e+10,2.8114759184e+10
2020-03-27 20:35:00,3.4823292819e+10,3.4823292819e+10,3.4746369357e+10,3.4746369357e+10
2020-03-27 20:40:00,3.7412283697e+10,3.7412283697e+10,4.6634679160e+10,4.6634679160e+10
2020-03-27 20:45:00,3.6348448747e+10,3.6348448747e+10,4.6651570695e+10,4.6651570695e+10
2020-03-27 20:50:00,3.9422752641e+10,3.9422752641e+10,3.7846752455e+10,3.7846752455e+10
2020-03-27 20:55:00,3.7588698019e+10,3.7588698019e+10,3.8988942877e+10,3.8988942877e+10
2020-03-27 21:00:00,3.2853852723e+10,3.2853852723e+10,3.9846256403e+10,3.9846256403e+10
2020-03-27 21:05:00,3.5567409760e+10,3.5567409760e+10,3.6133796925e+10,3.6133796925e+10
2020-03-27 21:10:00,3.5367968165e+10,3.5367968165e+10,4.6195467630e+10,4.6195467630e+10
2020-03-27 21:15:00,3.9179777054e+10,3.9179777054e+10,4.8505786893e+10,4.8505786893e+10
2020-03-27 21:20:00,4.6825022179e+10,4.6825022179e+10,3.7891935179e+10,3.7891935179e+10
2020-03-27 21:25:00,5.0497362542e+10,5.0497362542e+10,4.2560052453e+10,4.2560052453e+10
2020-03-27 21:30:00,4.7477869768e+10,4.7477869768e+10,4.3887837829e+10,4.3887837829e+10
2020-03-27 21:35:00,4.9298064605e+10,4.9298064605e+10,4.0999647898e+10,4.0999647898e+10
2020-03-27 21:40:00,5.0906208739e+10,5.0906208739e+10,4.1585357879e+10,4.1585357879e+10
2020-03-27 21:45:00,4.5319616720e+10,4.5319616720e+10,4.2120676140e+10,4.2120676140e+10
2020-03-27 21:50:00,4.4268900212e+10,4.4268900212e+10,3.9983641118e+10,3.9983641118e+10
2020-03-27 21:55:00,4.6550980224e+10,4.6550980224e+10,3.5897728239e+10,3.5897728239e+10
2020-03-27 22:00:00,4.1572302760e+10,4.1572302760e+10,3.6688824337e+10,3.6688824337e+10
2020-03-27 22:05:00,3.9304905284e+10,3.9304905284e+10,3.2653412760e+10,3.2653412760e+10
2020-03-27 22:10:00,3.6105892487e+10,3.6105892487e+10,2.9208542084e+10,2.9208542084e+10
2020-03-27 22:15:00,3.1728927235e+10,3.1728927235e+10,3.6667046171e+10,3.6667046171e+10
2020-03-27 22:20:00,3.7334628480e+10,3.7334628480e+10,3.4251727052e+10,3.4251727052e+10
2020-03-27 22:25:00,3.2166785233e+10,3.2166785233e+10,4.0110758917e+10,4.0110758917e+10
2020-03-27 22:30:00,2.8074786288e+10,2.8074786288e+10,4.1149300132e+10,4.1149300132e+10
2020-03-27 22:35:00,2.3046956896e+10,2.3046956896e+10,3.7933169449e+10,3.7933169449e+10
2020-03-27 22:40:00,2.2677253423e+10,2.2677253423e+10,3.8161369703e+10,3.8161369703e+10
