DATE,DUEE,DUEE_peak,EEDU,DUEE_peak
2020-03-15 16:10:00,1.9888808293e+09,1.9888808293e+09,2.8194243651e+09,2.8194243651e+09
2020-03-15 16:15:00,1.7365077911e+09,1.7365077911e+09,2.1960498361e+09,2.1960498361e+09
2020-03-15 16:20:00,1.3840151263e+09,1.3840151263e+09,2.2666376257e+09,2.2666376257e+09
2020-03-15 16:25:00,1.8890470702e+09,1.8890470702e+09,2.3587468208e+09,2.3587468208e+09
2020-03-15 16:30:00,1.7488417451e+09,1.7488417451e+09,2.0949554640e+09,2.0949554640e+09
2020-03-15 16:35:00,1.7683858366e+09,1.7683858366e+09,1.9749653608e+09,1.9749653608e+09
2020-03-15 16:40:00,1.7666857453e+09,1.7666857453e+09,2.2184477927e+09,2.2184477927e+09
2020-03-15 16:45:00,1.6153334939e+09,1.6153334939e+09,2.0724735552e+09,2.0724735552e+09
2020-03-15 16:50:00,1.1402442660e+09,1.1402442660e+09,2.1698451078e+09,2.1698451078e+09
2020-03-15 16:55:00,1.1389751392e+09,1.1389751392e+09,2.2149379290e+09,2.2149379290e+09
2020-03-15 17:00:00,1.5303517906e+09,1.5303517906e+09,2.2781080624e+09,2.2781080624e+09
2020-03-15 17:05:00,1.1321337516e+09,1.1321337516e+09,2.1875156912e+09,2.1875156912e+09
2020-03-15 17:10:00,1.9484668069e+09,1.9484668069e+09,2.2071459528e+09,2.2071459528e+09
2020-03-15 17:15:00,1.5388041615e+09,1.5388041615e+09,2.1301801359e+09,2.1301801359e+09
2020-03-15 17:20:00,1.4311695655e+09,1.4311695655e+09,2.1251808482e+09,2.1251808482e+09
2020-03-15 17:25:00,1.8906329516e+09,1.8906329516e+09,2.3076672123e+09,2.3076672123e+09
2020-03-15 17:30:00,2.3449120725e+09,2.3449120725e+09,2.7816232092e+09,2.7816232092e+09
2020-03-15 17:35:00,1.8667765242e+09,1.8667765242e+09,2.5410674892e+09,2.5410674892e+09
2020-03-15 17:40:00,1.8547368406e+09,1.8547368406e+09,2.5080841539e+09,2.5080841539e+09
2020-03-15 17:45:00,4.2005610364e+09,4.2005610364e+09,2.7522120190e+09,2.7522120190e+09
2020-03-15 17:50:00,5.0989211140e+09,5.0989211140e+09,2.9935836375e+09,2.9935836375e+09
2020-03-15 17:55:00,4.4516643995e+09,4.4516643995e+09,2.9290472444e+09,2.9290472444e+09
2020-03-15 18:00:00,5.3540795880e+09,5.3540795880e+09,2.8778103730e+09,2.8778103730e+09
2020-03-15 18:05:00,4.6195307686e+09,4.6195307686e+09,2.7090776797e+09,2.7090776797e+09
2020-03-15 18:10:00,4.2177173393e+09,4.2177173393e+09,2.3214516194e+09,2.3214516194e+09
2020-03-15 18:15:00,5.7886200919e+09,5.7886200919e+09,2.3526551814e+09,2.3526551814e+09
2020-03-15 18:20:00,5.2901001768e+09,5.2901001768e+09,2.3951465685e+09,2.3951465685e+09
2020-03-15 18:25:00,4.8388024902e+09,4.8388024902e+09,2.4191769298e+09,2.4191769298e+09
2020-03-15 18:30:00,4.9615264934e+09,4.9615264934e+09,2.3170202420e+09,2.3170202420e+09
2020-03-15 18:35:00,5.2272429914e+09,5.2272429914e+09,2.3357924887e+09,2.3357924887e+09
