DATE,DUEE,DUEE_peak,EEDU,DUEE_peak
2020-03-24 22:00:00,1.3546324331e+09,1.3546324331e+09,1.5682229326e+10,1.5682229326e+10
2020-03-24 22:05:00,1.5931386651e+09,1.5931386651e+09,1.5548359241e+10,1.5548359241e+10
2020-03-24 22:10:00,1.6054818186e+09,1.6054818186e+09,1.6224282132e+10,1.6224282132e+10
2020-03-24 22:15:00,1.1218855737e+09,1.1218855737e+09,1.5375974489e+10,1.5375974489e+10
2020-03-24 22:20:00,1.7814645209e+09,1.7814645209e+09,1.5276291916e+10,1.5276291916e+10
2020-03-24 22:25:00,1.1549381910e+09,1.1549381910e+09,1.4602439491e+10,1.4602439491e+10
2020-03-24 22:30:00,1.1346387598e+09,1.1346387598e+09,1.5644470540e+10,1.5644470540e+10
2020-03-24 22:35:00,1.2477875156e+09,1.2477875156e+09,1.5735478300e+10,1.5735478300e+10
2020-03-24 22:40:00,9.6884146457e+08,9.6884146457e+08,1.4995016692e+10,1.4995016692e+10
2020-03-24 22:45:00,9.9754153614e+08,9.9754153614e+08,1.4887463180e+10,1.4887463180e+10
2020-03-24 22:50:00,1.7653608028e+09,1.7653608028e+09,1.3335146093e+10,1.3335146093e+10
2020-03-24 22:55:00,3.1422431562e+09,3.1422431562e+09,1.3512599984e+10,1.3512599984e+10
2020-03-24 23:00:00,1.3204773927e+09,1.3204773927e+09,1.3194279093e+10,1.3194279093e+10
2020-03-24 23:05:00,1.1126141781e+09,1.1126141781e+09,1.4023339405e+10,1.4023339405e+10
2020-03-24 23:10:00,1.0354248792e+09,1.0354248792e+09,1.4209646505e+10,1.4209646505e+10
2020-03-24 23:15:00,9.1151840506e+08,9.1151840506e+08,1.3938169732e+10,1.3938169732e+10
2020-03-24 23:20:00,1.1710841421e+09,1.1710841421e+09,1.2867405977e+10,1.2867405977e+10
2020-03-24 23:25:00,8.4490176207e+08,8.4490176207e+08,1.3963257172e+10,1.3963257172e+10
2020-03-24 23:30:00,2.5075557814e+09,2.5075557814e+09,1.2994004062e+10,1.2994004062e+10
2020-03-24 23:35:00,5.9598523980e+09,5.9598523980e+09,1.3969562529e+10,1.3969562529e+10
2020-03-24 23:40:00,3.2188957572e+09,3.2188957572e+09,1.5432813811e+10,1.5432813811e+10
2020-03-24 23:45:00,1.8296845195e+09,1.8296845195e+09,1.3876925707e+10,1.3876925707e+10
2020-03-24 23:50:00,1.7685825493e+09,1.7685825493e+09,1.4100050464e+10,1.4100050464e+10
2020-03-24 23:55:00,2.0206155678e+09,2.0206155678e+09,1.3886433763e+10,1.3886433763e+10
2020-03-25 00:00:00,1.9142612461e+09,1.9142612461e+09,1.4685299651e+10,1.4685299651e+10
2020-03-25 00:05:00,2.5469493547e+09,2.5469493547e+09,1.5040238423e+10,1.5040238423e+10
2020-03-25 00:10:00,3.4349161134e+09,3.4349161134e+09,1.4469155939e+10,1.4469155939e+10
2020-03-25 00:15:00,1.9113022861e+09,1.9113022861e+09,1.4113816407e+10,1.4113816407e+10
2020-03-25 00:20:00,3.6966350352e+09,3.6966350352e+09,1.4521176778e+10,1.4521176778e+10
2020-03-25 00:25:00,2.8778129923e+09,2.8778129923e+09,1.4820264048e+10,1.4820264048e+10
2020-03-25 00:30:00,9.2166998144e+08,9.2166998144e+08,1.4117932527e+10,1.4117932527e+10
2020-03-25 00:35:00,3.0902681438e+09,3.0902681438e+09,1.3930555943e+10,1.3930555943e+10
2020-03-25 00:40:00,1.6521345200e+09,1.6521345200e+09,9.7721595554e+09,9.7721595554e+09
2020-03-25 00:45:00,3.7771496537e+09,3.7771496537e+09,7.7716633470e+09,7.7716633470e+09
2020-03-25 00:50:00,4.9113845619e+09,4.9113845619e+09,6.7793554916e+09,6.7793554916e+09
2020-03-25 00:55:00,2.4013350600e+09,2.4013350600e+09,3.5601669351e+09,3.5601669351e+09
2020-03-25 01:00:00,4.7843753394e+09,4.7843753394e+09,2.9714116533e+09,2.9714116533e+09
2020-03-25 01:05:00,2.1502757793e+09,2.1502757793e+09,3.3105399591e+09,3.3105399591e+09
2020-03-25 01:10:00,1.8534604435e+09,1.8534604435e+09,3.2745754150e+09,3.2745754150e+09
2020-03-25 01:15:00,6.3149517785e+08,6.3149517785e+08,3.1654858430e+09,3.1654858430e+09
2020-03-25 01:20:00,1.3205006609e+09,1.3205006609e+09,2.9514746222e+09,2.9514746222e+09
2020-03-25 01:25:00,8.3421672011e+08,8.3421672011e+08,3.1094240131e+09,3.1094240131e+09
2020-03-25 01:30:00,7.8479347012e+08,7.8479347012e+08,2.9369794081e+09,2.9369794081e+09
2020-03-25 01:35:00,8.3042507371e+08,8.3042507371e+08,3.1642832686e+09,3.1642832686e+09
2020-03-25 01:40:00,1.0057527428e+09,1.0057527428e+09,2.6631869288e+09,2.6631869288e+09
2020-03-25 01:45:00,8.3595070162e+08,8.3595070162e+08,2.7660584116e+09,2.7660584116e+09
2020-03-25 01:50:00,9.9328508398e+08,9.9328508398e+08,2.7186845222e+09,2.7186845222e+09
2020-03-25 01:55:00,6.5430880253e+08,6.5430880253e+08,3.3141065458e+09,3.3141065458e+09
2020-03-25 02:00:00,6.4118138776e+08,6.4118138776e+08,2.4832560904e+09,2.4832560904e+09
2020-03-25 02:05:00,1.0537678024e+09,1.0537678024e+09,2.3888031486e+09,2.3888031486e+09
2020-03-25 02:10:00,6.8776834691e+09,6.8776834691e+09,2.5973748136e+09,2.5973748136e+09
2020-03-25 02:15:00,1.0213591022e+09,1.0213591022e+09,2.2501261816e+09,2.2501261816e+09
2020-03-25 02:20:00,6.4464483463e+08,6.4464483463e+08,2.1347576832e+09,2.1347576832e+09
2020-03-25 02:25:00,8.5225345349e+08,8.5225345349e+08,2.4828029424e+09,2.4828029424e+09
2020-03-25 02:30:00,8.2682182344e+08,8.2682182344e+08,2.5448720276e+09,2.5448720276e+09
2020-03-25 02:35:00,8.2560856603e+08,8.2560856603e+08,2.4652909369e+09,2.4652909369e+09
2020-03-25 02:40:00,4.4468015182e+09,4.4468015182e+09,2.5148389998e+09,2.5148389998e+09
2020-03-25 02:45:00,3.6969491178e+09,3.6969491178e+09,6.0182091340e+09,6.0182091340e+09
2020-03-25 02:50:00,3.5957447555e+09,3.5957447555e+09,1.0374101568e+10,1.0374101568e+10
2020-03-25 02:55:00,5.0565629475e+09,5.0565629475e+09,1.0420174379e+10,1.0420174379e+10
2020-03-25 03:00:00,9.7802992254e+08,9.7802992254e+08,1.0340562189e+10,1.0340562189e+10
2020-03-25 03:05:00,3.2158378517e+09,3.2158378517e+09,1.0630899895e+10,1.0630899895e+10
2020-03-25 03:10:00,9.5435410885e+08,9.5435410885e+08,1.0462248423e+10,1.0462248423e+10
2020-03-25 03:15:00,3.1054247759e+09,3.1054247759e+09,1.0223816724e+10,1.0223816724e+10
2020-03-25 03:20:00,1.4542920654e+09,1.4542920654e+09,1.0183831765e+10,1.0183831765e+10
2020-03-25 03:25:00,3.3879455253e+09,3.3879455253e+09,1.0113629371e+10,1.0113629371e+10
2020-03-25 03:30:00,7.7237890731e+08,7.7237890731e+08,1.0149642612e+10,1.0149642612e+10
2020-03-25 03:35:00,3.6342074538e+09,3.6342074538e+09,9.8076324650e+09,9.8076324650e+09
2020-03-25 03:40:00,3.0440106759e+09,3.0440106759e+09,9.6757266498e+09,9.6757266498e+09
2020-03-25 03:45:00,4.1527274563e+09,4.1527274563e+09,9.7448285218e+09,9.7448285218e+09
2020-03-25 03:50:00,2.1510558720e+09,2.1510558720e+09,9.9280455362e+09,9.9280455362e+09
2020-03-25 03:55:00,3.8468721861e+09,3.8468721861e+09,9.9522694075e+09,9.9522694075e+09
2020-03-25 04:00:00,5.3434906848e+09,5.3434906848e+09,9.8710891219e+09,9.8710891219e+09
2020-03-25 04:05:00,5.2078917989e+09,5.2078917989e+09,9.6110905030e+09,9.6110905030e+09
2020-03-25 04:10:00,2.5745321464e+09,2.5745321464e+09,9.6318529146e+09,9.6318529146e+09
2020-03-25 04:15:00,5.8261972564e+08,5.8261972564e+08,9.9751795830e+09,9.9751795830e+09
2020-03-25 04:20:00,5.8974098516e+08,5.8974098516e+08,1.0208239063e+10,1.0208239063e+10
2020-03-25 04:25:00,5.7026574648e+08,5.7026574648e+08,9.8566695228e+09,9.8566695228e+09
2020-03-25 04:30:00,5.2088656184e+08,5.2088656184e+08,9.2591799928e+09,9.2591799928e+09
2020-03-25 04:35:00,2.6562360157e+09,2.6562360157e+09,9.4502596877e+09,9.4502596877e+09
2020-03-25 04:40:00,5.8711543204e+08,5.8711543204e+08,9.2147709497e+09,9.2147709497e+09
2020-03-25 04:45:00,2.5351501419e+09,2.5351501419e+09,9.0788258165e+09,9.0788258165e+09
2020-03-25 04:50:00,1.9773961415e+09,1.9773961415e+09,9.0519631636e+09,9.0519631636e+09
2020-03-25 04:55:00,5.8663618448e+09,5.8663618448e+09,8.8569986729e+09,8.8569986729e+09
2020-03-25 05:00:00,7.8286914845e+09,7.8286914845e+09,8.4846024676e+09,8.4846024676e+09
2020-03-25 05:05:00,1.5432619149e+09,1.5432619149e+09,4.6987574969e+09,4.6987574969e+09
2020-03-25 05:10:00,6.4755586189e+08,6.4755586189e+08,2.1349001665e+09,2.1349001665e+09
2020-03-25 05:15:00,2.1192458084e+09,2.1192458084e+09,2.2092515918e+09,2.2092515918e+09
2020-03-25 05:20:00,6.1526680265e+09,6.1526680265e+09,2.2012434120e+09,2.2012434120e+09
2020-03-25 05:25:00,1.7516530049e+09,1.7516530049e+09,2.2089982835e+09,2.2089982835e+09
2020-03-25 05:30:00,3.6154870324e+09,3.6154870324e+09,2.3811623235e+09,2.3811623235e+09
2020-03-25 05:35:00,8.6995848986e+09,8.6995848986e+09,2.3621866715e+09,2.3621866715e+09
2020-03-25 05:40:00,4.9995548765e+09,4.9995548765e+09,2.5994152715e+09,2.5994152715e+09
2020-03-25 05:45:00,3.4488694530e+09,3.4488694530e+09,2.3075871963e+09,2.3075871963e+09
