DATE,PLAT,PLAT_peak,ATPL,ATPL_peak
2020-03-28 20:30:00,7.5713925998e+08,7.5713925998e+08,1.8090612826e+08,1.8090612826e+08
2020-03-28 20:35:00,7.6671752172e+08,7.6671752172e+08,2.6046468354e+07,2.6046468354e+07
2020-03-28 20:40:00,8.5003384751e+08,8.5003384751e+08,2.9718022173e+07,2.9718022173e+07
2020-03-28 20:45:00,7.3974542311e+08,7.3974542311e+08,2.1633080796e+07,2.1633080796e+07
2020-03-28 20:50:00,6.8685964115e+08,6.8685964115e+08,1.2509204601e+08,1.2509204601e+08
2020-03-28 20:55:00,6.3691911833e+08,6.3691911833e+08,5.2602627457e+08,5.2602627457e+08
2020-03-28 21:00:00,7.7279414038e+08,7.7279414038e+08,3.3601256415e+07,3.3601256415e+07
2020-03-28 21:05:00,6.1298087843e+08,6.1298087843e+08,7.8498573914e+07,7.8498573914e+07
2020-03-28 21:10:00,6.2170482293e+08,6.2170482293e+08,1.0863499567e+08,1.0863499567e+08
2020-03-28 21:15:00,1.1509477338e+09,1.1509477338e+09,2.2876563013e+07,2.2876563013e+07
2020-03-28 21:20:00,6.9160915291e+08,6.9160915291e+08,2.6316155811e+07,2.6316155811e+07
2020-03-28 21:25:00,6.4962914930e+08,6.4962914930e+08,2.8118070582e+07,2.8118070582e+07
2020-03-28 21:30:00,6.7598573693e+08,6.7598573693e+08,1.0343477699e+08,1.0343477699e+08
2020-03-28 21:35:00,6.4027222128e+08,6.4027222128e+08,1.9734893598e+07,1.9734893598e+07
2020-03-28 21:40:00,6.3456644881e+08,6.3456644881e+08,2.1471817666e+07,2.1471817666e+07
2020-03-28 21:45:00,7.0854488638e+08,7.0854488638e+08,2.7777324852e+07,2.7777324852e+07
2020-03-28 21:50:00,5.9980903994e+08,5.9980903994e+08,2.5194100234e+07,2.5194100234e+07
2020-03-28 21:55:00,6.6043531260e+08,6.6043531260e+08,2.1955605617e+07,2.1955605617e+07
2020-03-28 22:00:00,6.6365684342e+08,6.6365684342e+08,3.2914199093e+07,3.2914199093e+07
2020-03-28 22:05:00,6.3269947779e+08,6.3269947779e+08,2.3205829545e+07,2.3205829545e+07
2020-03-28 22:10:00,5.8587534507e+08,5.8587534507e+08,2.6962975608e+07,2.6962975608e+07
2020-03-28 22:15:00,6.1649887025e+08,6.1649887025e+08,2.1383092844e+07,2.1383092844e+07
2020-03-28 22:20:00,5.5314577255e+08,5.5314577255e+08,2.5271741415e+07,2.5271741415e+07
2020-03-28 22:25:00,5.3936316690e+08,5.3936316690e+08,2.6115469279e+07,2.6115469279e+07
2020-03-28 22:30:00,5.7365111634e+08,5.7365111634e+08,3.2483696412e+07,3.2483696412e+07
2020-03-28 22:35:00,6.2825641638e+08,6.2825641638e+08,3.3450342169e+07,3.3450342169e+07
2020-03-28 22:40:00,5.4016302609e+08,5.4016302609e+08,3.3249141420e+07,3.3249141420e+07
2020-03-28 22:45:00,5.5909647077e+08,5.5909647077e+08,4.2313449003e+07,4.2313449003e+07
2020-03-28 22:50:00,5.4031994570e+08,5.4031994570e+08,1.0807118604e+08,1.0807118604e+08
2020-03-28 22:55:00,4.9560133893e+08,4.9560133893e+08,3.8216444319e+07,3.8216444319e+07
2020-03-28 23:00:00,4.8710732421e+08,4.8710732421e+08,5.3130074800e+08,5.3130074800e+08
2020-03-28 23:05:00,5.0451928194e+08,5.0451928194e+08,1.5488230465e+08,1.5488230465e+08
2020-03-28 23:10:00,4.5158678152e+08,4.5158678152e+08,5.4918507447e+08,5.4918507447e+08
2020-03-28 23:15:00,3.9879794422e+08,3.9879794422e+08,5.5161474600e+07,5.5161474600e+07
2020-03-28 23:20:00,4.1438248390e+08,4.1438248390e+08,8.7733838275e+07,8.7733838275e+07
2020-03-28 23:25:00,4.2596556813e+08,4.2596556813e+08,1.5267205932e+08,1.5267205932e+08
2020-03-28 23:30:00,3.8686599826e+08,3.8686599826e+08,4.3112527388e+07,4.3112527388e+07
