DATE,GRIT,GRIT_peak,ITGR,GRIT_peak
2020-03-22 18:55:00,4.7022940438e+09,4.7022940438e+09,4.7914424496e+09,4.7914424496e+09
2020-03-22 19:00:00,5.8904904906e+09,5.8904904906e+09,4.7928348144e+09,4.7928348144e+09
2020-03-22 19:05:00,6.0222247643e+09,6.0222247643e+09,5.6995190338e+09,5.6995190338e+09
2020-03-22 19:10:00,5.7215587890e+09,5.7215587890e+09,5.9345882545e+09,5.9345882545e+09
2020-03-22 19:15:00,6.1000684790e+09,6.1000684790e+09,5.1375242696e+09,5.1375242696e+09
2020-03-22 19:20:00,5.8620111313e+09,5.8620111313e+09,6.8477753845e+09,6.8477753845e+09
2020-03-22 19:25:00,5.7812783291e+09,5.7812783291e+09,6.8793730421e+09,6.8793730421e+09
2020-03-22 19:30:00,6.1719333901e+09,6.1719333901e+09,5.7651423020e+09,5.7651423020e+09
2020-03-22 19:35:00,5.9157222631e+09,5.9157222631e+09,5.4503346029e+09,5.4503346029e+09
2020-03-22 19:40:00,6.3768908150e+09,6.3768908150e+09,5.6101698761e+09,5.6101698761e+09
